epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value,total_param_l2_norm
0,357,2.3276965618133545,0.9987125396728516,10.254294395446777,0.001,2.2946937084198,1.0270661115646362,9.921396255493164,transformer,embedding,3,525.9423965066671
1,714,2.293241262435913,1.015695571899414,9.906996726989746,0.001,2.2911109924316406,1.0270661115646362,9.88591480255127,transformer,embedding,3,523.6040516495705
2,1071,2.374131441116333,0.9499548077583313,10.741679191589355,0.001,2.2913196086883545,1.0336402654647827,9.887977600097656,transformer,embedding,3,532.7414230555296
3,1428,2.2907447814941406,1.0688360929489136,9.882294654846191,0.001,2.2904014587402344,1.0270661115646362,9.878902435302734,transformer,embedding,3,523.745458945632
4,1785,2.289929151535034,1.0162434577941895,9.874238014221191,0.001,2.2890238761901855,1.0226833820343018,9.865303039550781,transformer,embedding,3,520.3474845290184
5,2142,2.2898876667022705,1.0069302320480347,9.873828887939453,0.001,2.2891178131103516,1.038570761680603,9.866230010986328,transformer,embedding,3,521.0211802572012
6,2499,2.2888221740722656,1.020626187324524,9.863313674926758,0.001,2.288439989089966,1.0219985246658325,9.85954475402832,transformer,embedding,3,514.5906648486853
7,2856,2.288562059402466,0.999260425567627,9.860748291015625,0.001,2.2888174057006836,1.0255595445632935,9.863266944885254,transformer,embedding,3,511.14199508726597
8,3213,2.288254976272583,1.0633577108383179,9.857720375061035,0.001,2.2881696224212646,1.0302162170410156,9.856879234313965,transformer,embedding,3,509.37841057777405
9,3570,2.2880961894989014,1.0524009466171265,9.856155395507812,0.001,2.2881569862365723,1.0295313596725464,9.856755256652832,transformer,embedding,3,510.0809358358383
10,3927,2.287860155105591,1.0337743759155273,9.853829383850098,0.001,2.2878293991088867,1.0228203535079956,9.85352611541748,transformer,embedding,3,504.41596272587776
11,4284,2.2956831455230713,1.073218822479248,9.931218147277832,0.001,NaN,NaN,NaN,transformer,embedding,3,504.8065400272608
12,4641,2.287907838821411,1.0447311401367188,9.854299545288086,0.001,2.287792205810547,1.0218616724014282,9.85315990447998,transformer,embedding,3,498.28802882134914
13,4998,2.2877094745635986,1.0293916463851929,9.852344512939453,0.001,NaN,NaN,NaN,transformer,embedding,3,491.1989919245243
14,5355,2.2876698970794678,1.0255566835403442,9.851954460144043,0.001,2.287715196609497,1.021176815032959,9.852400779724121,transformer,embedding,3,485.8226286023855
15,5712,2.287625312805176,1.0452790260314941,9.851515769958496,0.001,NaN,NaN,NaN,transformer,embedding,3,481.07462556660175
16,6069,2.287586212158203,1.0162434577941895,9.851130485534668,0.001,2.287660598754883,1.029805302619934,9.851862907409668,transformer,embedding,3,475.8937825411558
17,6426,2.2875595092773438,1.011860728263855,9.85086727142334,0.001,NaN,NaN,NaN,transformer,embedding,3,470.61022870242596
18,6783,2.2900197505950928,1.0228174924850464,9.87513256072998,0.001,2.2877142429351807,1.0306271314620972,9.852392196655273,transformer,embedding,3,472.5727266818285
19,7140,2.287527084350586,1.0365135669708252,9.850547790527344,0.001,NaN,NaN,NaN,transformer,embedding,3,464.66443368792534
20,7497,2.287553310394287,1.0250089168548584,9.85080623626709,0.001,2.2876579761505127,1.0270661115646362,9.851837158203125,transformer,embedding,3,459.0941575616598
