epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,len_train_ds,len_val_ds,batches_per_epoch,time_per_epoch,fwd_time_in_epoch,val_loss,val_accuracy,val_perplexity,full_train_loss,full_train_acc,paramnorm_embedding.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.0.self_attn.Wo.weight,paramnorm_decoder.blocks.0.self_attn_norm.weight,paramnorm_decoder.blocks.0.self_attn_norm.bias,paramnorm_decoder.blocks.0.ffn.ffn.0.weight,paramnorm_decoder.blocks.0.ffn.ffn.2.weight,paramnorm_decoder.blocks.0.ffn_norm.weight,paramnorm_decoder.blocks.0.ffn_norm.bias,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.1.self_attn.Wo.weight,paramnorm_decoder.blocks.1.self_attn_norm.weight,paramnorm_decoder.blocks.1.self_attn_norm.bias,paramnorm_decoder.blocks.1.ffn.ffn.0.weight,paramnorm_decoder.blocks.1.ffn.ffn.2.weight,paramnorm_decoder.blocks.1.ffn_norm.weight,paramnorm_decoder.blocks.1.ffn_norm.bias,paramnorm_linear.weight
0,2,5.863637924194336,0.0,352.00238037109375,0.0002,941,8468,2,0.3249173164367676,0.25459837913513184,5.727266311645508,0.0,307.1285400390625,5.722058296203613,0.0,1.0037008796339493,0.05076764151453972,0.050754476338624954,0.05083928257226944,0.051552146673202515,0.05121322721242905,0.051142070442438126,0.05101048946380615,0.051234327256679535,0.051068078726530075,0.05058291181921959,0.050954174250364304,0.05109087750315666,0.051018472760915756,0.9998956272888159,9.855957177233277e-05,0.05110913887619972,0.025507479906082153,0.999895964463604,9.924169011574968e-05,0.050984568893909454,0.051354844123125076,0.05115156248211861,0.050984568893909454,0.0514424666762352,0.05142930895090103,0.051412973552942276,0.05100290849804878,0.051092881709337234,0.05054599419236183,0.05109947919845581,0.050568968057632446,0.05078548938035965,0.9999005163232432,9.900721740163403e-05,0.05102795362472534,0.02550472505390644,0.999872783696923,9.964731237363529e-05,0.05128620591957458
1,4,5.581320762634277,0.0,265.42193603515625,0.0004,941,8468,2,0.039496421813964844,0.011311769485473633,5.036097049713135,0.03542749211192131,153.86830139160156,5.025699138641357,0.10626992583274841,1.0032000342436567,0.050757747143507004,0.0507381297647953,0.05082054063677788,0.051523055881261826,0.05119175463914871,0.05111626535654068,0.05098230019211769,0.05120912194252014,0.05104013532400131,0.05055637285113335,0.050942376255989075,0.051070697605609894,0.050999682396650314,0.9993666000463072,0.0005860536160642831,0.051086634397506714,0.02550068311393261,0.9993680330391566,0.0005927241368627354,0.050959836691617966,0.05133504420518875,0.05112973973155022,0.0509612001478672,0.05142417550086975,0.051405169069767,0.05138925090432167,0.05097894370555878,0.05107218772172928,0.0505266971886158,0.051081109791994095,0.050540849566459656,0.050762541592121124,0.9993905394562613,0.0005912228611796935,0.05100779980421066,0.025500712916254997,0.9992726125741279,0.0005966646202443135,0.05124836552799829
2,6,4.771702766418457,0.0,118.12020111083984,0.0006,941,8468,2,0.034052371978759766,0.009462594985961914,4.007874488830566,0.0,55.029781341552734,3.992537021636963,0.0,1.0022907307245796,0.05075465887784958,0.05071968212723732,0.05080125853419304,0.05147982016205788,0.051164641976356506,0.05108657479286194,0.050945766270160675,0.05116855725646019,0.05100109055638313,0.05051999166607857,0.05093244090676308,0.05104649439454079,0.05097778141498566,0.9983898046852187,0.001436191070773415,0.05105973780155182,0.025510422885417938,0.9983817124903046,0.0014605340038748693,0.05093016102910042,0.05131157487630844,0.051099423319101334,0.05092364177107811,0.05139626935124397,0.05137491226196289,0.0513574555516243,0.05094388127326965,0.05105104669928551,0.050497181713581085,0.051056165248155594,0.05050181224942207,0.05073406174778938,0.998445354231556,0.0014636853039816935,0.05098213627934456,0.02551511861383915,0.9983510295845887,0.001482991030141588,0.051187122980709404
3,8,3.7839813232421875,0.0,43.99083709716797,0.0008,941,8468,2,0.03490090370178223,0.009408235549926758,3.350994348526001,0.0,28.531089782714844,3.335357666015625,0.0,1.0009614533840658,0.05077366158366203,0.050716180354356766,0.050798315554857254,0.05143922194838524,0.051144134253263474,0.05107229948043823,0.05091436952352524,0.05112426355481148,0.05096582695841789,0.05048788711428642,0.05093368515372276,0.05103113129734993,0.050967831164598465,0.9969489725220253,0.0025638910826855004,0.05104618892073631,0.02556641586124897,0.9969022738138752,0.0026191080640463275,0.05091377720236778,0.05130007117986679,0.051074422895908356,0.050886768847703934,0.05136965215206146,0.05135238543152809,0.05133569985628128,0.05091579258441925,0.051047295331954956,0.050459910184144974,0.05102904140949249,0.05047046020627022,0.05071262642741203,0.9970376494912921,0.0026348757598370844,0.050965361297130585,0.025574635714292526,0.9972829441496256,0.0027201684688774822,0.05111797429973384
4,10,3.2832226753234863,0.0,26.661556243896484,0.001,941,8468,2,0.041489362716674805,0.011958837509155273,3.1810343265533447,0.0,24.071638107299805,3.1615653038024902,0.0,0.999213423583457,0.05081645026803017,0.050729211419820786,0.050812434405088425,0.05141081660985947,0.05113353580236435,0.0510663166642189,0.05088888853788376,0.05108293518424034,0.05094379931688309,0.05046485364437103,0.050937019288539886,0.05102384835481644,0.050968434661626816,0.9950762194552922,0.003773846267094913,0.05104655772447586,0.025678841397166252,0.9949683235231043,0.0038711001200338008,0.05091649666428566,0.051307838410139084,0.0510609894990921,0.0508638434112072,0.051353178918361664,0.05132907256484032,0.05132794752717018,0.05090286582708359,0.051064327359199524,0.05042324587702751,0.05100370571017265,0.05044833570718765,0.050698988139629364,0.9952022385323398,0.0038870112138911714,0.050957925617694855,0.025685260072350502,0.9959955265150119,0.0041072841443715175,0.05105730971807998
5,12,3.121616840362549,0.0,22.683025360107422,0.001,941,8468,2,0.036871910095214844,0.012538909912109375,3.017563581466675,0.0,20.44142723083496,2.9897196292877197,0.0,0.9971621472096629,0.050867099314928055,0.05074762552976608,0.0508267767727375,0.05139244347810745,0.051126521080732346,0.051055602729320526,0.0508655309677124,0.05104687437415123,0.05092582479119301,0.05044936388731003,0.050932448357343674,0.05100608244538307,0.05096518248319626,0.9929235270207498,0.00488999656078987,0.05105490982532501,0.025834379717707634,0.99273841806209,0.005035806546663594,0.05092978850007057,0.05132858827710152,0.05105622112751007,0.05085645243525505,0.05134999752044678,0.051301613450050354,0.05132239684462547,0.05089643597602844,0.05108848214149475,0.050391945987939835,0.05098425969481468,0.0504247210919857,0.050686970353126526,0.9930857080938197,0.005033309016617069,0.050953272730112076,0.025832591578364372,0.9943281971879209,0.00534883580036556,0.051024387486907415
6,14,2.9512853622436523,0.0,19.13052749633789,0.001,941,8468,2,0.03695249557495117,0.011687517166137695,2.8956916332244873,0.0,18.096012115478516,2.860063314437866,0.0,0.995120816206796,0.050921984016895294,0.050768911838531494,0.050830256193876266,0.05136957764625549,0.05110853537917137,0.05103517696261406,0.05084533989429474,0.05101810023188591,0.0509016178548336,0.050441499799489975,0.050918322056531906,0.05097290873527527,0.050951339304447174,0.9908093568057463,0.005767186406501455,0.05106637626886368,0.025997402146458626,0.9905493107504341,0.005960829443440251,0.05094560980796814,0.05135297030210495,0.05105351656675339,0.050858717411756516,0.05135667696595192,0.05126194283366203,0.05131673812866211,0.05089268460869789,0.05110332742333412,0.05036497116088867,0.05096981301903725,0.05039811134338379,0.050672199577093124,0.9909991019177423,0.005927137647867346,0.05095033347606659,0.025983093306422234,0.9926797496489628,0.006340133299336581,0.051027053762336926
7,16,2.842484951019287,0.0,17.158349990844727,0.001,941,8468,2,0.03719353675842285,0.014909744262695312,2.817863941192627,0.0,16.741052627563477,2.7751517295837402,0.0,0.9930900412555274,0.05098855122923851,0.050798263400793076,0.05081722140312195,0.05132283642888069,0.051063135266304016,0.050998806953430176,0.05082675442099571,0.05099344998598099,0.05086513236165047,0.050440464168787,0.05089693143963814,0.05092448741197586,0.050920095294713974,0.9887078306452961,0.006441946914448741,0.05107499286532402,0.026151342317461967,0.9883574217467765,0.006651744048168352,0.05095682665705681,0.051371973007917404,0.051031384617090225,0.05086285620927811,0.05136501044034958,0.05120156332850456,0.05130884796380997,0.050885602831840515,0.05107812583446503,0.05033382028341293,0.05095073580741882,0.050353869795799255,0.05063766986131668,0.9888887249191048,0.006604198451781016,0.05094451084733009,0.02612413465976715,0.9912948885005918,0.007300673147790016,0.05105716250041823
8,18,2.741546154022217,0.0,15.51094913482666,0.001,941,8468,2,0.0342564582824707,0.008714437484741211,2.68233060836792,0.0,14.619125366210938,2.6329400539398193,0.0,0.9910689499548984,0.05106715112924576,0.05084215849637985,0.050792254507541656,0.0512569360435009,0.05099558085203171,0.050944626331329346,0.05080801993608475,0.050970565527677536,0.0508158877491951,0.05044878274202347,0.05087606608867645,0.05086321383714676,0.05087290704250336,0.9866091704705446,0.006947780219386332,0.05107805132865906,0.026288267225027084,0.9861545745625062,0.007133374525348562,0.05095779523253441,0.05137865990400314,0.05098368972539902,0.05086509883403778,0.051370181143283844,0.05112914368510246,0.05129675194621086,0.050870273262262344,0.0510103665292263,0.05029516667127609,0.05092299357056618,0.05028663948178291,0.05057932808995247,0.9867515425248145,0.00710953455561508,0.050933316349983215,0.026250360533595085,0.990158019408859,0.008308374661182633,0.051105444440966936
9,20,2.6015024185180664,0.0,13.483981132507324,0.001,941,8468,2,0.04310321807861328,0.011539697647094727,2.572328805923462,0.0,13.096287727355957,2.51682448387146,0.0,0.9890556230228003,0.05115322396159172,0.05090297758579254,0.05076634883880615,0.05119343101978302,0.05092504248023033,0.05088363587856293,0.05079440027475357,0.05095135048031807,0.05075834318995476,0.05047427490353584,0.05086573213338852,0.050795476883649826,0.050820909440517426,0.9845265260982273,0.0073430392916220685,0.05107946693897247,0.02641294337809086,0.9839706091663687,0.007479525275079519,0.05094940960407257,0.0513736754655838,0.05092629790306091,0.050869740545749664,0.05137499421834946,0.05105563998222351,0.051281627267599106,0.05084867775440216,0.050923995673656464,0.05025262013077736,0.05088997259736061,0.050212521106004715,0.050510138273239136,0.9846195020460424,0.007496211475822785,0.05092194676399231,0.026365062221884727,0.9891787795305569,0.009320855890614188,0.05116878620306228
