epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value,total_param_l2_norm
0,3,4.428338050842285,0.0,83.79204559326172,0.0003,4.086086750030518,0.5376344323158264,59.50657272338867,transformer,embedding,2,296.1337250082288
1,6,3.770826578140259,0.35435861349105835,43.41593551635742,0.0006,3.094052791595459,0.0,22.066328048706055,transformer,embedding,2,296.2168830540031
2,9,2.9623913764953613,0.0,19.344175338745117,0.0009000000000000001,2.8456802368164062,0.0,17.21326446533203,transformer,embedding,2,296.44897655025125
3,12,2.758293390274048,0.0,15.77290153503418,0.001,2.6027514934539795,0.0,13.500834465026855,transformer,embedding,2,296.77630925551057
4,15,2.5204648971557617,0.0,12.434375762939453,0.001,2.496458053588867,0.0,12.139420509338379,transformer,embedding,2,297.13524497672915
5,18,2.431208372116089,0.49610209465026855,11.372615814208984,0.001,2.4174859523773193,1.03775954246521,11.217621803283691,transformer,embedding,2,297.4785740673542
6,21,2.355548143386841,1.4174344539642334,10.543907165527344,0.001,2.3678905963897705,0.8752188086509705,10.674851417541504,transformer,embedding,2,297.80630423128605
7,24,2.318448543548584,0.9213324189186096,10.159899711608887,0.001,2.3469555377960205,0.9127282500267029,10.453695297241211,transformer,embedding,2,298.10568802058697
8,27,2.3037374019622803,1.7009212970733643,10.011529922485352,0.001,2.3358876705169678,0.9127282500267029,10.33863353729248,transformer,embedding,2,298.36164329200983
9,30,2.295816659927368,1.5591778755187988,9.932543754577637,0.001,2.3280344009399414,0.9627407193183899,10.257759094238281,transformer,embedding,2,298.57264560461044
10,33,2.2903971672058105,1.7717931270599365,9.878860473632812,0.001,2.3228373527526855,0.9627407193183899,10.20458698272705,transformer,embedding,2,298.7429128587246
11,36,2.2862284183502197,1.630049705505371,9.837763786315918,0.001,NaN,NaN,NaN,transformer,embedding,2,298.88077472895384
12,39,2.282736301422119,1.5591778755187988,9.803468704223633,0.001,2.319948673248291,0.9502375721931458,10.175151824951172,transformer,embedding,2,298.992789529264
13,42,2.2796080112457275,1.4883062839508057,9.772849082946777,0.001,NaN,NaN,NaN,transformer,embedding,2,299.0868891850114
14,45,2.2761621475219727,1.7717931270599365,9.73923110961914,0.001,2.3194751739501953,0.8877219557762146,10.170334815979004,transformer,embedding,2,299.172553204
15,48,2.273782730102539,2.3387668132781982,9.716084480285645,0.001,NaN,NaN,NaN,transformer,embedding,2,299.25622599571943
16,51,2.269930601119995,2.3387668132781982,9.678729057312012,0.001,2.3186683654785156,0.8377094864845276,10.16213321685791,transformer,embedding,2,299.3436599075794
17,54,2.266122341156006,2.4805102348327637,9.641940116882324,0.001,NaN,NaN,NaN,transformer,embedding,2,299.4419797360897
18,57,2.261204719543457,2.197023391723633,9.594640731811523,0.001,2.322016954421997,0.8877219557762146,10.196218490600586,transformer,embedding,2,299.55749443918467
