epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value
0,1,5.560927391052246,0.0,260.06390380859375,0.0001,5.56613826751709,0.0,261.422607421875,transformer,embedding,2
1,2,5.5609211921691895,0.0,260.0622863769531,0.0002,5.4330220222473145,0.0,228.8397674560547,transformer,embedding,2
2,3,5.427824974060059,0.0,227.65354919433594,0.0003,5.171975612640381,0.0,176.26272583007812,transformer,embedding,2
3,4,5.166829586029053,0.0,175.35800170898438,0.0004,4.800579071044922,0.0,121.58080291748047,transformer,embedding,2
4,5,4.795633316040039,0.0,120.9809799194336,0.0005,4.358932971954346,0.0,78.17367553710938,transformer,embedding,2
5,6,4.354228973388672,0.0,77.80680847167969,0.0006,3.912292003631592,0.0,50.013450622558594,transformer,embedding,2
6,7,3.9079909324645996,0.0,49.79880142211914,0.0007,3.538888454437256,0.0,34.42863082885742,transformer,embedding,2
7,8,3.5350399017333984,0.0,34.296382904052734,0.0008,3.2946419715881348,0.0,26.967756271362305,transformer,embedding,2
8,9,3.2912397384643555,0.0,26.876161575317383,0.0009000000000000001,3.1695592403411865,0.0,23.796993255615234,transformer,embedding,2
9,10,3.166527271270752,0.0,23.724950790405273,0.001,3.0994608402252197,0.0,22.185985565185547,transformer,embedding,2
10,11,3.0965583324432373,0.0,22.121685028076172,0.001,3.026181936264038,0.0,20.61836051940918,transformer,embedding,2
11,12,3.023165702819824,0.0,20.556262969970703,0.001,2.9335782527923584,0.0,18.794763565063477,transformer,embedding,2
12,13,2.9300897121429443,0.0,18.729310989379883,0.001,2.8339719772338867,0.0,17.012901306152344,transformer,embedding,2
13,14,2.8297317028045654,0.0,16.940914154052734,0.001,2.753554582595825,0.0,15.698333740234375,transformer,embedding,2
14,15,2.748486042022705,0.0,15.618967056274414,0.001,2.6995410919189453,0.0,14.872904777526855,transformer,embedding,2
15,16,2.693598985671997,0.0,14.784790992736816,0.001,2.6556191444396973,0.0,14.233796119689941,transformer,embedding,2
16,17,2.6490325927734375,0.0,14.140352249145508,0.001,2.607595682144165,0.0,13.566393852233887,transformer,embedding,2
17,18,2.60064697265625,0.0,13.472451210021973,0.001,2.5562100410461426,0.0,12.886883735656738,transformer,embedding,2
18,19,2.5492806434631348,0.0,12.797894477844238,0.001,2.51009464263916,0.0,12.306095123291016,transformer,embedding,2
19,20,2.5033209323883057,0.0,12.223018646240234,0.001,2.474048614501953,0.3613177239894867,11.870408058166504,transformer,embedding,2
20,21,2.4673728942871094,0.531462550163269,11.791428565979004,0.001,2.447305202484131,0.9989372491836548,11.557160377502441,transformer,embedding,2
