epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding
11623,81368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11624,81375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11625,81382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11626,81389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11627,81396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11628,81403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11629,81410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11630,81417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11631,81424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11632,81431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11633,81438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11634,81445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11635,81452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11636,81459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11637,81466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11638,81473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11639,81480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11640,81487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11641,81494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11642,81501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11643,81508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11644,81515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11645,81522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11646,81529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11647,81536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11648,81543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11649,81550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11650,81557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11651,81564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11652,81571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11653,81578,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11654,81585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11655,81592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11656,81599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11657,81606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11658,81613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11659,81620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11660,81627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11661,81634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
