epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding
0,9,4.953172206878662,0.0,141.62350463867188,0.0009000000000000001,3.244300365447998,0.0,25.643762588500977,transformer,embedding
1,18,2.9890036582946777,0.0,19.86587905883789,0.001,2.6626837253570557,0.0,14.334708213806152,transformer,embedding
2,27,2.498513698577881,0.1180916354060173,12.164400100708008,0.001,2.404423713684082,1.024154543876648,11.07204818725586,transformer,embedding
3,36,2.3706555366516113,0.8738781213760376,10.70440673828125,0.001,2.350095510482788,0.9082125425338745,10.486571311950684,transformer,embedding
4,45,2.332812786102295,1.1572980880737305,10.306891441345215,0.001,2.328052282333374,0.966183602809906,10.257942199707031,transformer,embedding
5,54,2.318329334259033,1.1100614070892334,10.15868854522705,0.001,2.3176841735839844,0.9855072498321533,10.15213680267334,transformer,embedding
6,63,2.3087496757507324,1.204534649848938,10.061836242675781,0.001,2.3145031929016113,0.9275362491607666,10.119894027709961,transformer,embedding
7,72,2.305229425430298,1.0864430665969849,10.02647876739502,0.001,2.311800956726074,0.8309178948402405,10.092584609985352,transformer,embedding
8,81,2.302330255508423,1.0864430665969849,9.997451782226562,0.001,2.3099207878112793,0.7922705411911011,10.073626518249512,transformer,embedding
9,90,2.3002493381500244,1.1809163093566895,9.976669311523438,0.001,2.3081796169281006,0.9275362491607666,10.05610179901123,transformer,embedding
10,99,2.297612428665161,1.3462446928024292,9.950396537780762,0.001,2.3068957328796387,0.695652186870575,10.04319953918457,transformer,embedding
11,108,2.296018362045288,1.0155880451202393,9.934547424316406,0.001,2.3068430423736572,0.9468598961830139,10.042670249938965,transformer,embedding
12,117,2.292766809463501,1.2990080118179321,9.902297973632812,0.001,2.309317111968994,0.8502415418624878,10.067546844482422,transformer,embedding
13,126,2.2904765605926514,1.3934813737869263,9.879644393920898,0.001,2.308605909347534,0.7922705411911011,10.060389518737793,transformer,embedding
14,135,2.2862584590911865,1.7241379022598267,9.838059425354004,0.001,2.312974452972412,0.483091801404953,10.104434967041016,transformer,embedding
15,144,2.281776189804077,2.1728861331939697,9.794060707092285,0.001,2.315486192703247,0.5024154782295227,10.129846572875977,transformer,embedding
16,153,2.2710115909576416,2.432687759399414,9.689197540283203,0.001,2.332404375076294,0.483091801404953,10.302682876586914,transformer,embedding
17,162,2.2547037601470947,2.243741035461426,9.532468795776367,0.001,2.351266384124756,0.5603864789009094,10.498856544494629,transformer,embedding
18,171,2.2282187938690186,3.3301842212677,9.283315658569336,0.001,2.3897674083709717,0.4444444477558136,10.910955429077148,transformer,embedding
19,180,2.193589210510254,4.700047016143799,8.967341423034668,0.001,2.441939115524292,0.4444444477558136,11.495309829711914,transformer,embedding
20,189,2.152174711227417,6.282474994659424,8.603548049926758,0.001,2.4682164192199707,0.483091801404953,11.801379203796387,transformer,embedding
21,198,2.1082823276519775,8.573452949523926,8.234086036682129,0.001,2.496061086654663,0.5024154782295227,12.134602546691895,transformer,embedding
22,207,2.060309886932373,10.273972511291504,7.8484015464782715,0.001,2.501918077468872,0.5797101259231567,12.205883026123047,transformer,embedding
23,216,2.0070183277130127,13.15540885925293,7.441097259521484,0.001,2.5219228267669678,0.6183574795722961,12.45251750946045,transformer,embedding
24,225,1.9502439498901367,15.470004081726074,7.030402660369873,0.001,2.554835319519043,0.772946834564209,12.869179725646973,transformer,embedding
25,234,1.8897559642791748,18.587623596191406,6.617753505706787,0.001,2.5485994815826416,0.9082125425338745,12.789179801940918,transformer,embedding
26,243,1.8246595859527588,22.22484588623047,6.200684070587158,0.001,2.5674619674682617,1.1014492511749268,13.032705307006836,transformer,embedding
27,252,1.7554024457931519,25.649503707885742,5.785775661468506,0.001,2.5893445014953613,1.1594202518463135,13.321037292480469,transformer,embedding
28,261,1.6884933710098267,29.404817581176758,5.411321640014648,0.001,2.594667434692383,1.4879226684570312,13.392132759094238,transformer,embedding
29,270,1.6109215021133423,33.301841735839844,5.007423400878906,0.001,2.610410451889038,1.5845410823822021,13.604633331298828,transformer,embedding
30,279,1.5428608655929565,35.89985656738281,4.677954196929932,0.001,2.6253390312194824,2.048309087753296,13.809255599975586,transformer,embedding
31,288,1.463252305984497,40.198394775390625,4.319986820220947,0.001,2.6373190879821777,2.222222328186035,13.975686073303223,transformer,embedding
32,297,1.3844151496887207,43.64666748046875,3.992490291595459,0.001,2.6433517932891846,2.917874336242676,14.06025218963623,transformer,embedding
33,306,1.3030833005905151,46.8115234375,3.6806275844573975,0.001,2.6628828048706055,3.0144927501678467,14.33756160736084,transformer,embedding
34,315,1.2315610647201538,50.16532516479492,3.426574468612671,0.001,2.683945894241333,3.362318754196167,14.6427583694458,transformer,embedding
35,324,1.1474692821502686,54.015113830566406,3.1502106189727783,0.001,2.682671546936035,4.019323825836182,14.624110221862793,transformer,embedding
36,333,1.056899905204773,58.03023147583008,2.877436876296997,0.001,2.6923012733459473,4.096618175506592,14.765616416931152,transformer,embedding
37,342,0.9824364185333252,61.8800163269043,2.6709558963775635,0.001,2.7028493881225586,5.140096664428711,14.92219066619873,transformer,embedding
38,351,0.913425624370575,64.40718078613281,2.492847442626953,0.001,2.702338695526123,5.681159496307373,14.914571762084961,transformer,embedding
39,360,0.8235405087471008,69.31979370117188,2.278552770614624,0.001,2.7151622772216797,6.08695650100708,15.107061386108398,transformer,embedding
40,369,0.750708281993866,72.72083282470703,2.118499994277954,0.001,2.7214667797088623,7.149758338928223,15.202605247497559,transformer,embedding
41,378,0.6757394075393677,76.7831802368164,1.965485692024231,0.001,2.7279305458068848,7.884057998657227,15.301189422607422,transformer,embedding
42,387,0.5946112275123596,80.65658569335938,1.812326192855835,0.001,2.739684581756592,8.579710006713867,15.482101440429688,transformer,embedding
43,396,0.5342058539390564,83.514404296875,1.7060928344726562,0.001,2.7350382804870605,9.507246017456055,15.410333633422852,transformer,embedding
44,405,0.46381330490112305,86.86820983886719,1.5901260375976562,0.001,2.762268543243408,10.067632675170898,15.835726737976074,transformer,embedding
45,414,0.40913012623786926,89.6079330444336,1.5055075883865356,0.001,2.762444496154785,10.705313682556152,15.838512420654297,transformer,embedding
46,423,0.3542026877403259,92.20594787597656,1.4250439405441284,0.001,2.771851062774658,11.671497344970703,15.988202095031738,transformer,embedding
47,432,0.30424413084983826,94.18988800048828,1.3555999994277954,0.001,2.768780469894409,12.463768005371094,15.939184188842773,transformer,embedding
48,441,0.2593024671077728,95.79593658447266,1.2960257530212402,0.001,2.7915761470794678,13.391304016113281,16.30670166015625,transformer,embedding
49,450,0.21777041256427765,96.92961883544922,1.2433016300201416,0.001,2.8016679286956787,14.125603675842285,16.472097396850586,transformer,embedding
50,459,0.1834927797317505,97.54369354248047,1.2014062404632568,0.001,2.817462921142578,14.743961334228516,16.73434066772461,transformer,embedding
51,468,0.15713249146938324,97.96881866455078,1.170150637626648,0.001,2.83301043510437,14.956521987915039,16.996551513671875,transformer,embedding
52,477,0.13320232927799225,98.6773681640625,1.1424810886383057,0.001,2.8431460857391357,16.28985595703125,17.16969871520996,transformer,embedding
53,486,0.11324922740459442,98.65375518798828,1.1199109554290771,0.001,2.8589513301849365,16.483091354370117,17.443225860595703,transformer,embedding
54,495,0.09459825605154037,98.81908416748047,1.099217176437378,0.001,2.8774545192718506,17.23671531677246,17.768985748291016,transformer,embedding
55,504,0.07894515246152878,99.10250091552734,1.0821449756622314,0.001,2.884767770767212,17.565217971801758,17.899410247802734,transformer,embedding
56,513,0.06878985464572906,99.14974212646484,1.0712110996246338,0.001,2.9046707153320312,17.8743953704834,18.25922966003418,transformer,embedding
57,522,0.0632895678281784,99.0788803100586,1.0653352737426758,0.001,2.9353675842285156,17.545894622802734,18.82842254638672,transformer,embedding
58,531,0.06719563901424408,99.14974212646484,1.069504737854004,0.001,2.944169282913208,17.758453369140625,18.994876861572266,transformer,embedding
59,540,0.05817430466413498,99.1261215209961,1.0598996877670288,0.001,2.963888645172119,17.603864669799805,19.37316131591797,transformer,embedding
