epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value
0,13,3.4480347633361816,0.10628606379032135,31.438547134399414,0.005,2.3461973667144775,0.9210060238838196,10.445773124694824,transformer,embedding,2
1,26,2.3233461380004883,0.6529000997543335,10.2097806930542,0.005,2.3181982040405273,1.0272759199142456,10.157356262207031,transformer,embedding,2
2,39,2.314986228942871,1.0324931144714355,10.124783515930176,0.005,2.3144924640655518,1.0272759199142456,10.11978530883789,transformer,embedding,2
3,52,2.3132927417755127,0.9110233783721924,10.107651710510254,0.005,2.3089184761047363,0.7084661722183228,10.0635347366333,transformer,embedding,2
4,65,2.307797908782959,0.9413908123970032,10.052264213562012,0.005,2.308255672454834,0.9564293026924133,10.056866645812988,transformer,embedding,2
5,78,2.306840419769287,0.9869419932365417,10.042643547058105,0.005,2.3039679527282715,0.9918526411056519,10.013837814331055,transformer,embedding,2
6,91,2.3071517944335938,0.9869419932365417,10.045771598815918,0.005,2.3060731887817383,1.0272759199142456,10.034941673278809,transformer,embedding,2
7,104,2.305743932723999,0.7288187146186829,10.031638145446777,0.005,2.305988073348999,0.7084661722183228,10.034088134765625,transformer,embedding,2
8,117,2.301290512084961,0.8047373294830322,9.987062454223633,0.005,2.3031561374664307,0.885582685470581,10.005712509155273,transformer,embedding,2
9,130,2.3012900352478027,1.0173094272613525,9.98705768585205,0.005,2.3003501892089844,0.779312789440155,9.977676391601562,transformer,embedding,2
10,143,2.3037495613098145,0.9262071251869202,10.011651039123535,0.005,2.3021535873413086,0.8147360682487488,9.995685577392578,transformer,embedding,2
11,156,2.301799774169922,1.0021257400512695,9.99215030670166,0.005,2.2986502647399902,0.8147360682487488,9.960728645324707,transformer,embedding,2
12,169,2.7542760372161865,0.36440935730934143,15.709663391113281,0.005,2.4392151832580566,0.6376195549964905,11.46403980255127,transformer,embedding,2
13,182,2.330859661102295,0.9262071251869202,10.286781311035156,0.005,2.304386854171753,0.7084661722183228,10.018033981323242,transformer,embedding,2
14,195,2.303311347961426,0.956574559211731,10.007265090942383,0.005,2.2984373569488525,0.9918526411056519,9.958608627319336,transformer,embedding,2
15,208,2.301727294921875,0.7895535826683044,9.991425514221191,0.005,2.298441171646118,1.0626991987228394,9.958646774291992,transformer,embedding,2
16,221,2.3008148670196533,0.956574559211731,9.98231315612793,0.005,2.297421455383301,0.7438894510269165,9.94849681854248,transformer,embedding,2
17,234,2.3006439208984375,0.7743698954582214,9.980607032775879,0.005,2.2967121601104736,0.7084661722183228,9.941442489624023,transformer,embedding,2
18,247,2.2987706661224365,0.7591861486434937,9.961928367614746,0.005,2.2976062297821045,0.6376195549964905,9.950335502624512,transformer,embedding,2
19,260,2.2970471382141113,0.7895535826683044,9.94477367401123,0.005,2.296872854232788,0.779312789440155,9.94304084777832,transformer,embedding,2
20,273,2.297267198562622,0.9110233783721924,9.946962356567383,0.005,2.298311233520508,0.779312789440155,9.957352638244629,transformer,embedding,2
21,286,2.297682046890259,0.9869419932365417,9.951089859008789,0.005,2.2963101863861084,0.8147360682487488,9.937447547912598,transformer,embedding,2
22,299,2.295677900314331,0.8654721975326538,9.93116569519043,0.005,2.297534942626953,0.779312789440155,9.949625968933105,transformer,embedding,2
23,312,2.2979788780212402,0.956574559211731,9.9540433883667,0.005,2.296954870223999,0.9210060238838196,9.943856239318848,transformer,embedding,2
24,325,2.2950329780578613,0.8502885103225708,9.924763679504395,0.005,2.296130895614624,0.6376195549964905,9.93566608428955,transformer,embedding,2
25,338,2.2954907417297363,0.971758246421814,9.92930793762207,0.005,2.2960386276245117,0.7438894510269165,9.934749603271484,transformer,embedding,2
26,351,2.296457529067993,0.8958396911621094,9.938911437988281,0.005,2.2959229946136475,0.9564293026924133,9.933600425720215,transformer,embedding,2
27,364,2.2950096130371094,0.9717583060264587,9.924530982971191,0.005,2.295484781265259,0.7084661722183228,9.929248809814453,transformer,embedding,2
28,377,2.295884609222412,1.0173094272613525,9.933218955993652,0.005,2.295973062515259,0.779312789440155,9.934098243713379,transformer,embedding,2
29,390,2.2943003177642822,1.0324931144714355,9.917494773864746,0.005,2.2957711219787598,0.779312789440155,9.93209171295166,transformer,embedding,2
30,403,2.295490026473999,0.956574559211731,9.929300308227539,0.005,2.2954249382019043,0.7084661722183228,9.928653717041016,transformer,embedding,2
31,416,2.294532299041748,0.971758246421814,9.919795036315918,0.005,2.296306848526001,0.7438894510269165,9.937414169311523,transformer,embedding,2
