epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value,total_param_l2_norm
0,4,4.86214542388916,0.0,129.3013153076172,0.0004,4.234616756439209,0.0,69.03521728515625,transformer,embedding,2,295.1121079288423
1,8,3.7013914585113525,0.0,40.503623962402344,0.0008,2.993624687194824,0.0,19.95789337158203,transformer,embedding,2,295.34951763413846
2,12,2.911875009536743,0.0,18.391250610351562,0.001,2.7473738193511963,0.0,15.601605415344238,transformer,embedding,2,295.88739612698555
3,16,2.6524438858032227,0.0,14.188672065734863,0.001,2.5769851207733154,0.0,13.157410621643066,transformer,embedding,2,296.4942725300789
4,20,2.4916937351226807,0.0,12.081722259521484,0.001,2.420395851135254,0.0,11.250311851501465,transformer,embedding,2,297.03075586259365
5,24,2.3665273189544678,0.31880974769592285,10.660307884216309,0.001,2.371985673904419,0.8768433928489685,10.71865463256836,transformer,embedding,2,297.5267187580466
6,28,2.3295531272888184,1.7534537315368652,10.27334976196289,0.001,2.34708833694458,0.8768433928489685,10.455083847045898,transformer,embedding,2,297.9385967999697
7,32,2.3095450401306152,1.7534537315368652,10.069842338562012,0.001,2.3305466175079346,0.8502723574638367,10.283560752868652,transformer,embedding,2,298.25345530360937
8,36,2.298017740249634,1.7534537315368652,9.95443058013916,0.001,2.321457624435425,0.8502723574638367,10.19051742553711,transformer,embedding,2,298.4860507026315
9,40,2.292755126953125,1.7534537315368652,9.902181625366211,0.001,2.3179919719696045,0.8502723574638367,10.155261993408203,transformer,embedding,2,298.6514841020107
10,44,2.2886083126068115,1.7534537315368652,9.861204147338867,0.001,2.3163087368011475,0.8502723574638367,10.138182640075684,transformer,embedding,2,298.76910653710365
11,48,2.285291910171509,1.7534537315368652,9.8285551071167,0.001,NaN,NaN,NaN,transformer,embedding,2,298.85387959331274
12,52,2.282555341720581,1.7534537315368652,9.801694869995117,0.001,2.3169260025024414,0.9034143686294556,10.144442558288574,transformer,embedding,2,298.9163712486625
13,56,2.2793662548065186,1.7534537315368652,9.770486831665039,0.001,NaN,NaN,NaN,transformer,embedding,2,298.9713384062052
14,60,2.277738571166992,1.9659936428070068,9.754595756530762,0.001,2.313389301300049,0.7838448286056519,10.108628273010254,transformer,embedding,2,299.0204894170165
15,64,2.273547649383545,1.9659936428070068,9.713800430297852,0.001,NaN,NaN,NaN,transformer,embedding,2,299.0743182450533
16,68,2.2688374519348145,1.9659936428070068,9.6681547164917,0.001,2.314490556716919,0.9034143686294556,10.119766235351562,transformer,embedding,2,299.1378399506211
17,72,2.264896869659424,1.9128586053848267,9.630131721496582,0.001,NaN,NaN,NaN,transformer,embedding,2,299.22607934474945
18,76,2.256568670272827,2.072263479232788,9.550262451171875,0.001,2.3231611251831055,0.8635578751564026,10.207891464233398,transformer,embedding,2,299.3471979126334
19,80,2.2451860904693604,2.3379383087158203,9.442172050476074,0.001,NaN,NaN,NaN,transformer,embedding,2,299.5022301822901
20,84,2.2312018871307373,3.294367551803589,9.311050415039062,0.001,2.333343744277954,0.6775608062744141,10.312365531921387,transformer,embedding,2,299.7073558792472
21,88,2.211549997329712,4.463336944580078,9.129857063293457,0.001,NaN,NaN,NaN,transformer,embedding,2,299.96705058962107
22,92,2.1788973808288574,4.516471862792969,8.836557388305664,0.001,2.4018640518188477,0.6775608062744141,11.043743133544922,transformer,embedding,2,300.2755474373698
23,96,2.1301467418670654,5.313496112823486,8.416101455688477,0.001,NaN,NaN,NaN,transformer,embedding,2,300.5964408740401
24,100,2.0910918712615967,6.90754508972168,8.093748092651367,0.001,2.4825849533081055,0.7572738528251648,11.972171783447266,transformer,embedding,2,300.8937798291445
25,104,2.049527645111084,8.767269134521484,7.764232635498047,0.001,NaN,NaN,NaN,transformer,embedding,2,301.1761353760958
26,108,2.006014585494995,9.617427825927734,7.433631896972656,0.001,2.499907970428467,0.8768433928489685,12.18137264251709,transformer,embedding,2,301.49571404606104
27,112,1.9527002573013306,12.539851188659668,7.04769229888916,0.001,NaN,NaN,NaN,transformer,embedding,2,301.87950402498245
28,116,1.9082425832748413,15.515409469604492,6.741231441497803,0.001,2.525512456893921,1.0495549440383911,12.497298240661621,transformer,embedding,2,302.2604313120246
29,120,1.866640567779541,16.89691734313965,6.466536045074463,0.001,NaN,NaN,NaN,transformer,embedding,2,302.7082749530673
30,124,1.8172532320022583,20.616365432739258,6.154929161071777,0.001,2.5715439319610596,1.1292680501937866,13.086012840270996,transformer,embedding,2,303.1690434142947
31,128,1.7784664630889893,21.67906379699707,5.920769691467285,0.001,NaN,NaN,NaN,transformer,embedding,2,303.653449870646
32,132,1.7298226356506348,22.31668472290039,5.63965368270874,0.001,2.5874743461608887,1.4215490818023682,13.296147346496582,transformer,embedding,2,304.15890561789274
33,136,1.6816396713256836,25.079702377319336,5.374361038208008,0.001,NaN,NaN,NaN,transformer,embedding,2,304.69284100830555
34,140,1.6323635578155518,27.523910522460938,5.115952491760254,0.001,2.6195626258850098,1.766972303390503,13.729717254638672,transformer,embedding,2,305.24050959199667
35,144,1.5861366987228394,29.33049774169922,4.884840965270996,0.001,NaN,NaN,NaN,transformer,embedding,2,305.8142109885812
36,148,1.5355849266052246,32.51859664916992,4.644041061401367,0.001,2.651559352874756,2.1389663219451904,14.176127433776855,transformer,embedding,2,306.3963043540716
37,152,1.4830925464630127,33.581295013427734,4.406552314758301,0.001,NaN,NaN,NaN,transformer,embedding,2,307.0174380391836
38,156,1.4313983917236328,36.450584411621094,4.184546947479248,0.001,2.6853394508361816,2.5242462158203125,14.663177490234375,transformer,embedding,2,307.6643204316497
39,160,1.3803282976150513,39.16046905517578,3.9762067794799805,0.001,NaN,NaN,NaN,transformer,embedding,2,308.3409918397665
40,164,1.3222049474716187,42.879913330078125,3.7516844272613525,0.001,2.7103943824768066,3.2283778190612793,15.03520393371582,transformer,embedding,2,309.01652662456036
41,168,1.2590328454971313,46.546226501464844,3.5220134258270264,0.001,NaN,NaN,NaN,transformer,embedding,2,309.7257084995508
42,172,1.2043029069900513,50.5844841003418,3.3344337940216064,0.001,2.7458059787750244,3.6800851821899414,15.577163696289062,transformer,embedding,2,310.44801913946867
43,176,1.1438724994659424,54.78214645385742,3.1389002799987793,0.001,NaN,NaN,NaN,transformer,embedding,2,311.18145225197077
44,180,1.0857418775558472,57.704566955566406,2.9616360664367676,0.001,2.782879590988159,4.3310747146606445,16.165504455566406,transformer,embedding,2,311.9106099382043
45,184,1.031733512878418,60.73326110839844,2.8059258460998535,0.001,NaN,NaN,NaN,transformer,embedding,2,312.66584284603596
46,188,0.9699494242668152,64.87779235839844,2.6378109455108643,0.001,2.815850019454956,5.367344379425049,16.70737075805664,transformer,embedding,2,313.41846287995577
47,192,0.9125511646270752,68.06588745117188,2.490668535232544,0.001,NaN,NaN,NaN,transformer,embedding,2,314.16554787009954
48,196,0.8549022674560547,71.67906188964844,2.351144552230835,0.001,2.8586745262145996,5.486913681030273,17.438398361206055,transformer,embedding,2,314.9161050096154
49,200,0.7984689474105835,75.45164489746094,2.2221360206604004,0.001,NaN,NaN,NaN,transformer,embedding,2,315.66205002367496
50,204,0.7423917055130005,78.42720031738281,2.100954294204712,0.001,2.8963069915771484,6.363757133483887,18.10715103149414,transformer,embedding,2,316.4032442048192
