epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value,total_param_l2_norm
0,3,4.630807399749756,0.0,102.59687042236328,0.0003,4.312256336212158,0.18754689395427704,74.608642578125,transformer,embedding,2,296.80631785234436
1,6,4.009687423706055,0.21261516213417053,55.129634857177734,0.0006,3.2814884185791016,0.0,26.615358352661133,transformer,embedding,2,296.5548237860203
2,9,3.0983800888061523,0.0,22.16202163696289,0.0009000000000000001,2.9006011486053467,0.0,18.185073852539062,transformer,embedding,2,296.22651871293783
3,12,2.8490209579467773,0.0,17.270864486694336,0.001,2.728084087371826,0.0,15.30353832244873,transformer,embedding,2,295.8035173974931
4,15,2.646296501159668,0.0,14.101716041564941,0.001,2.596839666366577,0.0,13.421255111694336,transformer,embedding,2,295.37619715183973
5,18,2.527296304702759,0.0,12.519611358642578,0.001,2.4777369499206543,0.0,11.914271354675293,transformer,embedding,2,294.92100275307894
6,21,2.4028077125549316,0.0,11.054169654846191,0.001,2.4017817974090576,0.21255314350128174,11.042835235595703,transformer,embedding,2,294.4563738256693
7,24,2.3456597328186035,1.3465627431869507,10.440157890319824,0.001,2.376927375793457,1.0127532482147217,10.771754264831543,transformer,embedding,2,293.9795685634017
8,27,2.3246712684631348,1.275691032409668,10.223319053649902,0.001,2.36061692237854,1.137784481048584,10.597487449645996,transformer,embedding,2,293.46233443170786
9,30,2.3107943534851074,1.5591778755187988,10.082430839538574,0.001,2.347459554672241,0.9002251029014587,10.458965301513672,transformer,embedding,2,292.89790384471416
10,33,2.3001914024353027,1.8426647186279297,9.976091384887695,0.001,2.336790084838867,0.9252313375473022,10.347967147827148,transformer,embedding,2,292.28890635073185
11,36,2.2926628589630127,1.5591778755187988,9.901268005371094,0.001,NaN,NaN,NaN,transformer,embedding,2,291.64292535185814
12,39,2.2874958515167236,1.6300495862960815,9.850240707397461,0.001,2.3243942260742188,0.9252313375473022,10.220486640930176,transformer,embedding,2,290.9669286236167
