epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value
0,4,5.450684070587158,0.0,232.91744995117188,0.0004,4.806719779968262,0.0,122.3296890258789,transformer,embedding,2
1,8,4.211023330688477,0.0,67.42550659179688,0.0008,3.3095290660858154,0.0,27.37223243713379,transformer,embedding,2
2,12,3.169708251953125,0.0,23.800539016723633,0.001,2.9650657176971436,0.0,19.395977020263672,transformer,embedding,2
3,16,2.8324530124664307,0.0,16.987079620361328,0.001,2.6815967559814453,0.0,14.608400344848633,transformer,embedding,2
4,20,2.5991621017456055,0.0,13.452461242675781,0.001,2.4999778270721436,0.4517071843147278,12.18222427368164,transformer,embedding,2
5,24,2.4461894035339355,1.0095642805099487,11.544272422790527,0.001,2.421727418899536,0.8369868397712708,11.265302658081055,transformer,embedding,2
6,28,2.3821966648101807,1.8065886497497559,10.82866382598877,0.001,2.3876373767852783,0.8502723574638367,10.887740135192871,transformer,embedding,2
7,32,2.350168228149414,1.7534537315368652,10.487334251403809,0.001,2.366938591003418,0.8502723574638367,10.664692878723145,transformer,embedding,2
8,36,2.329559803009033,1.7534537315368652,10.273418426513672,0.001,2.351348876953125,0.8502723574638367,10.499723434448242,transformer,embedding,2
9,40,2.3174328804016113,1.700318694114685,10.149585723876953,0.001,2.3419320583343506,0.8104158639907837,10.401312828063965,transformer,embedding,2
10,44,2.3082902431488037,1.647183895111084,10.057214736938477,0.001,2.3345117568969727,0.7971303462982178,10.324418067932129,transformer,embedding,2
11,48,2.3014702796936035,1.7534537315368652,9.988858222961426,0.001,2.330357313156128,0.8502723574638367,10.281614303588867,transformer,embedding,2
12,52,2.2955899238586426,1.7534537315368652,9.930292129516602,0.001,2.3279244899749756,0.8502723574638367,10.256631851196289,transformer,embedding,2
13,56,2.2922203540802,1.7534537315368652,9.89688777923584,0.001,2.327061653137207,0.8502723574638367,10.247785568237305,transformer,embedding,2
14,60,2.2877488136291504,1.7003188133239746,9.85273265838623,0.001,2.3243842124938965,0.8104158639907837,10.22038459777832,transformer,embedding,2
15,64,2.2837915420532227,2.1253983974456787,9.813819885253906,0.001,2.3216536045074463,0.6642752885818481,10.192514419555664,transformer,embedding,2
16,68,2.2797021865844727,1.9128586053848267,9.77376937866211,0.001,2.321014881134033,0.7838448286056519,10.186006546020508,transformer,embedding,2
17,72,2.2742111682891846,2.231668472290039,9.720248222351074,0.001,2.324448585510254,0.8369868397712708,10.22104263305664,transformer,embedding,2
18,76,2.2675395011901855,2.1253983974456787,9.655613899230957,0.001,2.3265280723571777,0.7705593109130859,10.242319107055664,transformer,embedding,2
19,80,2.257805824279785,2.6036131381988525,9.562085151672363,0.001,2.329587697982788,0.6111332774162292,10.273704528808594,transformer,embedding,2
20,84,2.2423110008239746,3.0818276405334473,9.415064811706543,0.001,2.3397152423858643,0.5447057485580444,10.378280639648438,transformer,embedding,2
21,88,2.219250440597534,3.5069074630737305,9.200431823730469,0.001,2.3638243675231934,0.6775608062744141,10.631532669067383,transformer,embedding,2
22,92,2.186767578125,4.569606781005859,8.906377792358398,0.001,2.4105539321899414,0.6377042531967163,11.140130043029785,transformer,embedding,2
23,96,2.1528007984161377,4.782146453857422,8.608936309814453,0.001,2.4358034133911133,0.6642752885818481,11.424994468688965,transformer,embedding,2
24,100,2.1132888793945312,6.4824652671813965,8.275413513183594,0.001,2.4594600200653076,0.6377042531967163,11.698493003845215,transformer,embedding,2
25,104,2.074000358581543,7.757704734802246,7.9565887451171875,0.001,2.4947636127471924,0.5181347131729126,12.118868827819824,transformer,embedding,2
26,108,2.03078556060791,9.19234848022461,7.620069980621338,0.001,2.5176644325256348,0.6377042531967163,12.399602890014648,transformer,embedding,2
27,112,1.9853858947753906,11.58342170715332,7.281857013702393,0.001,2.5264036655426025,0.6377042531967163,12.508440971374512,transformer,embedding,2
28,116,1.9465737342834473,11.636556625366211,7.0046467781066895,0.001,2.5463802814483643,0.730702817440033,12.76082992553711,transformer,embedding,2
29,120,1.9046175479888916,14.66524887084961,6.716838359832764,0.001,2.5861456394195557,0.6775608062744141,13.27849292755127,transformer,embedding,2
30,124,1.855643630027771,15.727949142456055,6.395813465118408,0.001,2.5795886516571045,0.6377042531967163,13.191710472106934,transformer,embedding,2
31,128,1.813018560409546,18.43783187866211,6.128920078277588,0.001,2.6238489151000977,0.7971303462982178,13.78869342803955,transformer,embedding,2
32,132,1.7615349292755127,20.244421005249023,5.821365833282471,0.001,2.630690813064575,0.8635578751564026,13.883357048034668,transformer,embedding,2
33,136,1.718719482421875,22.794898986816406,5.5773820877075195,0.001,2.663325071334839,0.9166998863220215,14.343904495239258,transformer,embedding,2
34,140,1.6669163703918457,25.2922420501709,5.295812129974365,0.001,2.663383722305298,1.0229839086532593,14.344745635986328,transformer,embedding,2
35,144,1.622681975364685,26.99256134033203,5.0666608810424805,0.001,2.7087628841400146,0.9166998863220215,15.01069450378418,transformer,embedding,2
36,148,1.573624610900879,28.48033905029297,4.82410192489624,0.001,2.7021803855895996,1.1824100017547607,14.912210464477539,transformer,embedding,2
37,152,1.5250396728515625,31.72157096862793,4.595325946807861,0.001,2.7438764572143555,1.2621229887008667,15.547136306762695,transformer,embedding,2
38,156,1.4716817140579224,35.2816162109375,4.356555461883545,0.001,2.7592151165008545,1.4215490818023682,15.787446975708008,transformer,embedding,2
39,160,1.4177390336990356,38.310306549072266,4.127777099609375,0.001,2.773327589035034,1.5942606925964355,16.011825561523438,transformer,embedding,2
40,164,1.3633583784103394,42.29542922973633,3.9093000888824463,0.001,2.8041112422943115,1.4746911525726318,16.512393951416016,transformer,embedding,2
