epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value
0,12,4.359210014343262,0.0,78.1953353881836,0.001,2.9641470909118652,0.0,19.3781681060791,transformer,embedding,2
1,24,2.655912160873413,0.17714790999889374,14.237967491149902,0.001,2.422152042388916,1.036131739616394,11.270087242126465,transformer,embedding,2
2,36,2.3805019855499268,1.0274578332901,10.810328483581543,0.001,2.351243019104004,0.929861843585968,10.498611450195312,transformer,embedding,2
3,48,2.3347980976104736,1.31089448928833,10.327374458312988,0.001,2.3312928676605225,0.9032943844795227,10.291237831115723,transformer,embedding,2
4,60,2.3197522163391113,1.06288743019104,10.173152923583984,0.001,2.3217098712921143,1.036131739616394,10.19308853149414,transformer,embedding,2
5,72,2.314558506011963,1.0274578332901,10.120453834533691,0.001,2.3178415298461914,0.9829968214035034,10.15373420715332,transformer,embedding,2
6,84,2.309412956237793,1.2400354146957397,10.068511962890625,0.001,2.3179562091827393,0.9032943844795227,10.154898643493652,transformer,embedding,2
7,96,2.307894229888916,0.956598699092865,10.053232192993164,0.001,2.315840482711792,0.9829968214035034,10.13343620300293,transformer,embedding,2
8,108,2.3044145107269287,1.0274578332901,10.018310546875,0.001,2.3118371963500977,0.9564293026924133,10.092950820922852,transformer,embedding,2
9,120,2.3032009601593018,0.974313497543335,10.006160736083984,0.001,2.3119418621063232,1.036131739616394,10.094006538391113,transformer,embedding,2
10,132,2.3031609058380127,1.0274578332901,10.005760192871094,0.001,2.31300687789917,0.7970244288444519,10.10476303100586,transformer,embedding,2
11,144,2.300316572189331,1.0451726913452148,9.977340698242188,0.001,2.308551788330078,1.0626991987228394,10.059844970703125,transformer,embedding,2
12,156,2.298736333847046,1.2400354146957397,9.961585998535156,0.001,2.310258388519287,0.6110520362854004,10.077028274536133,transformer,embedding,2
13,168,2.2961976528167725,1.2400354146957397,9.936328887939453,0.001,2.3152220249176025,0.9032943844795227,10.127171516418457,transformer,embedding,2
14,180,2.2947895526885986,1.2400354146957397,9.922348022460938,0.001,2.315054416656494,0.6641870141029358,10.125473976135254,transformer,embedding,2
