epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,len_train_ds,len_val_ds,batches_per_epoch,time_per_epoch,fwd_time_in_epoch,val_loss,val_accuracy,val_perplexity,full_train_loss,full_train_acc,paramnorm_embedding.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.0.self_attn.Wo.weight,paramnorm_decoder.blocks.0.self_attn_norm.weight,paramnorm_decoder.blocks.0.self_attn_norm.bias,paramnorm_decoder.blocks.0.ffn.ffn.0.weight,paramnorm_decoder.blocks.0.ffn.ffn.2.weight,paramnorm_decoder.blocks.0.ffn_norm.weight,paramnorm_decoder.blocks.0.ffn_norm.bias,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.1.self_attn.Wo.weight,paramnorm_decoder.blocks.1.self_attn_norm.weight,paramnorm_decoder.blocks.1.self_attn_norm.bias,paramnorm_decoder.blocks.1.ffn.ffn.0.weight,paramnorm_decoder.blocks.1.ffn.ffn.2.weight,paramnorm_decoder.blocks.1.ffn_norm.weight,paramnorm_decoder.blocks.1.ffn_norm.bias,paramnorm_linear.weight
0,4,5.7473835945129395,0.0,313.36968994140625,0.0004,1882,7527,4,0.5343129634857178,0.31429314613342285,5.036925315856934,0.03985651582479477,153.9958038330078,5.028042793273926,0.05313496291637421,1.0037718930719737,0.05078950151801109,0.0507691316306591,0.05084915831685066,0.051554400473833084,0.05121621862053871,0.05114683508872986,0.051011551171541214,0.05123911425471306,0.051068346947431564,0.05058363080024719,0.05097028985619545,0.05109885334968567,0.051028184592723846,0.9999489851990307,0.0005836575841900516,0.05111535266041756,0.025514939799904823,0.9999356667949013,0.0005933366655732228,0.05099017173051834,0.0513652041554451,0.051157962530851364,0.05099138617515564,0.051452312618494034,0.05143433064222336,0.05141618847846985,0.05100793018937111,0.05110013484954834,0.05055682361125946,0.05111047998070717,0.05056840553879738,0.05079232156276703,0.9999724188468028,0.0005888559698999401,0.05103727802634239,0.025515548884868622,0.9998330813656258,0.0005977457445312624,0.05127781451285471
1,8,4.344801425933838,0.0,77.07672882080078,0.0008,1882,7527,4,0.2587454319000244,0.02584075927734375,3.3486168384552,0.0,28.463336944580078,3.3372280597686768,0.0,1.0036299534360207,0.05091153830289841,0.050854191184043884,0.05093451961874962,0.05158605799078941,0.051265276968479156,0.05120789632201195,0.05105232074856758,0.05126265063881874,0.05109614506363869,0.05061763525009155,0.05106211081147194,0.05116714909672737,0.05110062658786774,0.9996390372750816,0.0025523360961123083,0.051180899143218994,0.0256318561732769,0.9995679776884923,0.002616233187996729,0.05105121433734894,0.0514313243329525,0.05120544880628586,0.05101827159523964,0.051500704139471054,0.051493555307388306,0.05146244913339615,0.05105273053050041,0.0511816032230854,0.0505947545170784,0.051160406321287155,0.05060337856411934,0.050848931074142456,0.9997227409162243,0.0026225517579146957,0.05109890177845955,0.02564270980656147,0.9999276588936842,0.002721140151299011,0.05125362719627943
2,12,3.2192459106445312,0.0,25.009254455566406,0.001,1882,7527,4,0.313335657119751,0.019906044006347656,3.01511287689209,0.0,20.39139175415039,2.9986281394958496,0.0,1.0033480806863193,0.051180943846702576,0.05105540156364441,0.05113891884684563,0.05172516405582428,0.05141859129071236,0.05136478692293167,0.051181767135858536,0.05136142671108246,0.051228590309619904,0.050753332674503326,0.051230575889348984,0.05132267251610756,0.05127295106649399,0.9991294818765849,0.00488540485920796,0.051365382969379425,0.025984181091189384,0.9989082109219027,0.005033163478280805,0.051241684705019,0.051626961678266525,0.05136021226644516,0.05114699527621269,0.05164685100317001,0.05162349343299866,0.05161014571785927,0.051205113530159,0.0513952411711216,0.05070066824555397,0.05128443241119385,0.050728484988212585,0.05099981650710106,0.9992900613694113,0.005023646851595947,0.05126193165779114,0.025988565757870674,1.000414539287682,0.005330926353198716,0.05133460236274909
3,16,2.9074392318725586,0.0,18.309850692749023,0.001,1882,7527,4,0.30556464195251465,0.021729469299316406,2.80515456199646,0.0,16.529630661010742,2.7814242839813232,0.0,1.003061933171921,0.05149451643228531,0.051292646676301956,0.05131618678569794,0.05185849219560623,0.05155113711953163,0.05149468407034874,0.05133721977472305,0.05150001868605614,0.05135231837630272,0.050934698432683945,0.05138660594820976,0.051434699445962906,0.051417119801044464,0.9986980667352274,0.006457947570359198,0.05157404765486717,0.026393208652734756,0.9982914339407942,0.006665605751516881,0.05145425349473953,0.051849864423274994,0.05152438208460808,0.051328446716070175,0.05183732137084007,0.05171852931380272,0.05177401006221771,0.05137722194194794,0.05157177522778511,0.050827208906412125,0.05143013596534729,0.050842683762311935,0.05114180967211723,0.9988800568270975,0.00661054023539289,0.051443472504615784,0.026375511661171913,1.0010072925651392,0.007219428511840187,0.051553449595702606
4,20,2.688638925552368,0.0,14.711638450622559,0.001,1882,7527,4,0.26674318313598633,0.02245950698852539,2.5500237941741943,0.0,12.807408332824707,2.5217437744140625,0.0,1.0027961998399526,0.051857296377420425,0.051586542278528214,0.051455676555633545,0.051925767213106155,0.05161215364933014,0.05156285688281059,0.05149932950735092,0.05165182426571846,0.05143364891409874,0.05116516724228859,0.051556579768657684,0.051497526466846466,0.051505837589502335,0.9982785370051499,0.0073782648373540635,0.05176609009504318,0.02674908936023712,0.9976605799122832,0.00752299513950695,0.05163716524839401,0.052034880965948105,0.0516071692109108,0.0515098012983799,0.052017517387866974,0.05176248401403427,0.05192883685231209,0.05152451992034912,0.05160503089427948,0.050937917083501816,0.05155322328209877,0.05088848993182182,0.051201965659856796,0.9983837355390331,0.007521626684019362,0.051610518246889114,0.02671193704009056,1.0025172455598905,0.009167877318498819,0.05184872460512943
5,24,2.475640296936035,0.0,11.889317512512207,0.001,1882,7527,4,0.30339598655700684,0.02369856834411621,2.4417965412139893,0.0,11.493671417236328,2.4116218090057373,0.0,1.002544163203033,0.052225448191165924,0.051910970360040665,0.051604170352220535,0.0520109198987484,0.051672324538230896,0.05162555351853371,0.05167090520262718,0.0518084317445755,0.05149710550904274,0.051455602049827576,0.05176987126469612,0.05155296251177788,0.05159089341759682,0.9979295610994797,0.007998457030280886,0.05195188894867897,0.02706111967563629,0.9971462197730563,0.008015936118611762,0.051784686744213104,0.05217916890978813,0.051685865968465805,0.05170459672808647,0.05219655483961105,0.051814865320920944,0.05208123102784157,0.05166080966591835,0.05161675810813904,0.05105146765708923,0.051669832319021225,0.05094000697135925,0.05124397575855255,0.997938664818758,0.008074993072998637,0.051775723695755005,0.027000853791832924,1.0043482732465978,0.010974961643984864,0.05218918998420817
6,28,2.39884877204895,0.7970243692398071,11.010493278503418,0.001,1882,7527,4,0.3369178771972656,0.05513405799865723,2.402533769607544,0.9432709217071533,11.051141738891602,2.3723032474517822,1.3815090656280518,1.0023046018998203,0.05252733826637268,0.05218738690018654,0.05174349993467331,0.05210385099053383,0.05173923820257187,0.05168456211686134,0.05181178078055382,0.051933202892541885,0.05154864490032196,0.05171628296375275,0.05195910483598709,0.05160585790872574,0.05166616663336754,0.9976207089935919,0.008450775691410783,0.052107762545347214,0.027310799807310104,0.9967231497077039,0.00835751920363535,0.05189450830221176,0.05228623002767563,0.05174843966960907,0.051895007491111755,0.05235801637172699,0.05186690762639046,0.05220942199230194,0.05176495388150215,0.05163650959730148,0.05112907290458679,0.051754288375377655,0.050994712859392166,0.05128027871251106,0.9975652437409516,0.008474188265758586,0.05192005634307861,0.027230171486735344,1.0061948109735572,0.012614047314217468,0.05253751787692567
7,32,2.3637874126434326,1.487778902053833,10.631139755249023,0.001,1882,7527,4,0.36931300163269043,0.029431819915771484,2.373593330383301,0.8502723574638367,10.73590087890625,2.343297004699707,1.7534537315368652,1.0020752476878225,0.05274582654237747,0.05239526927471161,0.05184803530573845,0.052181024104356766,0.05180506408214569,0.051727402955293655,0.05191553384065628,0.052023258060216904,0.05158431455492973,0.05191466957330704,0.05210265517234802,0.05164002627134323,0.05172014608979225,0.9973169145095254,0.008773786504220244,0.05222180113196373,0.02749236486852169,0.9963394447988607,0.008618036776815283,0.05196589231491089,0.05235492065548897,0.05178157985210419,0.05206144601106644,0.05248937010765076,0.05190296843647957,0.052307501435279846,0.05183732137084007,0.051653530448675156,0.051157981157302856,0.05180724337697029,0.05102984607219696,0.05130643770098686,0.9972428203498432,0.008797264933018844,0.05203341692686081,0.02740025520324707,1.0079843661613297,0.014118394778116808,0.05287489713761361
8,36,2.338109254837036,1.7534537315368652,10.361626625061035,0.001,1882,7527,4,0.27277326583862305,0.024923086166381836,2.3579823970794678,0.8502723574638367,10.569604873657227,2.325395107269287,1.7534537315368652,1.0018541812849306,0.05289173871278763,0.052541300654411316,0.051918141543865204,0.05223354697227478,0.05185403674840927,0.051756829023361206,0.05199336260557175,0.05208805948495865,0.05160978436470032,0.05206141993403435,0.05220859870314598,0.0516633614897728,0.05175666883587837,0.9970382395471713,0.008994729503737461,0.05230150744318962,0.02762126922607422,0.9959952736339208,0.00882209601223684,0.052018772810697556,0.052404921501874924,0.05180199444293976,0.05219510197639465,0.052588000893592834,0.05192786082625389,0.052387118339538574,0.0518944151699543,0.05166298896074295,0.05117109417915344,0.051857855170965195,0.05105002969503403,0.05132395401597023,0.9969574018917274,0.009039882607927298,0.052117954939603806,0.027523156255483627,1.0096711673324328,0.015455917113075935,0.05319255468413275
9,40,2.3237619400024414,1.7534537315368652,10.21402645111084,0.001,1882,7527,4,0.2456979751586914,0.02439427375793457,2.3471269607543945,0.8502723574638367,10.455487251281738,2.3146214485168457,1.7534537315368652,1.0016407047703781,0.053002070635557175,0.05264996737241745,0.051971230655908585,0.05227417126297951,0.051890112459659576,0.05177747458219528,0.05205458775162697,0.05213889479637146,0.05163004621863365,0.05216784402728081,0.05228392779827118,0.05167841911315918,0.05177976191043854,0.9967838411695596,0.009142368596982108,0.05235752835869789,0.027713118121027946,0.9956998242258595,0.008962705142858771,0.05206304416060448,0.0524466410279274,0.05181846767663956,0.05231313407421112,0.05267675966024399,0.05194857344031334,0.05246475711464882,0.051952995359897614,0.05167340114712715,0.05116387829184532,0.05187355354428291,0.0510593019425869,0.05133569985628128,0.9967011490527812,0.00919630800199745,0.05217741057276726,0.027609964832663536,1.0112069984921697,0.016603910338637635,0.053483205968479365
