epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,len_train_ds,len_val_ds,batches_per_epoch,time_per_epoch,fwd_time_in_epoch,val_loss,val_accuracy,val_perplexity,full_train_loss,full_train_acc,paramnorm_embedding.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.0.self_attn.Wo.weight,paramnorm_decoder.blocks.0.self_attn_norm.weight,paramnorm_decoder.blocks.0.self_attn_norm.bias,paramnorm_decoder.blocks.0.ffn.ffn.0.weight,paramnorm_decoder.blocks.0.ffn.ffn.2.weight,paramnorm_decoder.blocks.0.ffn_norm.weight,paramnorm_decoder.blocks.0.ffn_norm.bias,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.1.self_attn.Wo.weight,paramnorm_decoder.blocks.1.self_attn_norm.weight,paramnorm_decoder.blocks.1.self_attn_norm.bias,paramnorm_decoder.blocks.1.ffn.ffn.0.weight,paramnorm_decoder.blocks.1.ffn.ffn.2.weight,paramnorm_decoder.blocks.1.ffn_norm.weight,paramnorm_decoder.blocks.1.ffn_norm.bias,paramnorm_decoder.blocks.2.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.2.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.2.self_attn.Wo.weight,paramnorm_decoder.blocks.2.self_attn_norm.weight,paramnorm_decoder.blocks.2.self_attn_norm.bias,paramnorm_decoder.blocks.2.ffn.ffn.0.weight,paramnorm_decoder.blocks.2.ffn.ffn.2.weight,paramnorm_decoder.blocks.2.ffn_norm.weight,paramnorm_decoder.blocks.2.ffn_norm.bias,paramnorm_decoder.blocks.3.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.3.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.3.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.3.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.3.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.3.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.3.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.3.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.3.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.3.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.3.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.3.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.3.self_attn.Wo.weight,paramnorm_decoder.blocks.3.self_attn_norm.weight,paramnorm_decoder.blocks.3.self_attn_norm.bias,paramnorm_decoder.blocks.3.ffn.ffn.0.weight,paramnorm_decoder.blocks.3.ffn.ffn.2.weight,paramnorm_decoder.blocks.3.ffn_norm.weight,paramnorm_decoder.blocks.3.ffn_norm.bias,paramnorm_linear.weight
0,10,4.332159042358398,0.0,76.10842895507812,0.001,4704,4705,10,0.5803713798522949,0.31896328926086426,3.106701374053955,0.0,22.34720802307129,3.1024656295776367,0.0,0.9947278868150736,0.051437295973300934,0.050927598029375076,0.05142057687044144,0.05117139220237732,0.051374588161706924,0.05054871737957001,0.051194120198488235,0.05161161348223686,0.05134442076086998,0.0510149709880352,0.05092111974954605,0.05117025971412659,0.05110679939389229,0.999794980614572,0.0031458700780837355,0.05101129412651062,0.025699438527226448,0.9996465394141165,0.0031702589446646217,0.05030054226517677,0.0506209135055542,0.05107113718986511,0.0511496476829052,0.05132794380187988,0.05094779282808304,0.05103152617812157,0.0511295311152935,0.05147741734981537,0.05084598436951637,0.051534418016672134,0.05110540613532066,0.051346562802791595,0.999949912429698,0.003197718933558485,0.051389001309871674,0.02574186399579048,0.9999842199643858,0.003221849321419988,0.05084298923611641,0.05118570104241371,0.050789203494787216,0.05109057575464249,0.050821904093027115,0.05119841545820236,0.05122266337275505,0.05056041479110718,0.050861112773418427,0.05078656226396561,0.05160452052950859,0.05114207789301872,0.051375120878219604,1.0001234731518658,0.00324920526028159,0.051127709448337555,0.025712866336107254,1.0000379150493888,0.0031998710570105724,0.05172578617930412,0.05122162029147148,0.05079300329089165,0.05197417736053467,0.051133230328559875,0.051239073276519775,0.05105389654636383,0.05134141072630882,0.05070379376411438,0.05122125893831253,0.05129580199718475,0.05083760991692543,0.050931017845869064,0.9997746658335896,0.0031817232167318387,0.051109135150909424,0.0257176011800766,1.0007449705800076,0.0034412467169769707,0.05089192975887244
1,20,2.861487865447998,0.0,17.487525939941406,0.001,4704,4705,10,0.3038289546966553,0.08584165573120117,2.5011870861053467,1.1052072048187256,12.196964263916016,2.5006508827209473,0.9566326141357422,0.9946375060757697,0.051627181470394135,0.05117376893758774,0.05174925923347473,0.051565274596214294,0.05176138877868652,0.05087427794933319,0.05144589766860008,0.05183931067585945,0.05162154883146286,0.051382873207330704,0.05135355889797211,0.051494158804416656,0.051367707550525665,0.9996757050332861,0.005912646375969187,0.05140431597828865,0.02638724446296692,0.999481745236439,0.005919510385375891,0.05066702514886856,0.050978224724531174,0.05140065401792526,0.05148256942629814,0.05160263553261757,0.05113527551293373,0.05133401229977608,0.05149288848042488,0.051594078540802,0.051392436027526855,0.05212440714240074,0.05144072696566582,0.05156531557440758,1.0001833216767513,0.005849736936210614,0.05175052955746651,0.02641298808157444,1.0000601685854025,0.005863554517077107,0.05126949027180672,0.05155327916145325,0.0509643629193306,0.051320016384124756,0.05103166773915291,0.05139799416065216,0.05154365301132202,0.050921693444252014,0.05108645185828209,0.051218826323747635,0.05206231772899628,0.05135764926671982,0.05151873081922531,1.0000675021370433,0.005894452766847148,0.05143781006336212,0.026316845789551735,1.000093127420938,0.005754944064098057,0.052032772451639175,0.05152512714266777,0.05100269988179207,0.05237411707639694,0.0515240877866745,0.05139341950416565,0.051410872489213943,0.05171035975217819,0.050933197140693665,0.05151573568582535,0.051564253866672516,0.05095224827528,0.051056090742349625,0.9996030438664533,0.0057908577888408945,0.05140015482902527,0.026303507387638092,1.0048153446217956,0.008449248526696772,0.051553127897849146
2,30,2.4413654804229736,0.7227891087532043,11.488718032836914,0.001,4704,4705,10,0.2975614070892334,0.07846951484680176,2.380234718322754,0.0,10.807438850402832,2.3694090843200684,0.0,0.9945972883915815,0.05175880342721939,0.051331162452697754,0.05190155655145645,0.051880721002817154,0.05205603688955307,0.051051635295152664,0.05172281712293625,0.05210484564304352,0.05179852247238159,0.05168408527970314,0.051630228757858276,0.05169116333127022,0.05150695517659187,0.9996195654310696,0.007001619525636459,0.051687274128198624,0.026841329410672188,0.9994245098161612,0.006920276766554941,0.05087955296039581,0.051196008920669556,0.051547739654779434,0.05172724649310112,0.0518002025783062,0.051241789013147354,0.051613934338092804,0.05182085558772087,0.051663197576999664,0.051840320229530334,0.05258874595165253,0.05158533155918121,0.051657527685165405,1.0003434797010926,0.006849394328438222,0.05205529183149338,0.026867510750889778,1.000117066830892,0.0068431230090887024,0.0516146682202816,0.05189847573637962,0.05107153579592705,0.05146808922290802,0.05120290070772171,0.05151247978210449,0.0517403744161129,0.05114926025271416,0.051210369914770126,0.05154778063297272,0.05239689350128174,0.0514531172811985,0.05158914253115654,1.0000757629193515,0.006912180620373802,0.051707640290260315,0.02673279121518135,1.0000747513949872,0.00683559584536246,0.052265916019678116,0.0517134852707386,0.051104046404361725,0.052461888641119,0.05163927003741264,0.05145743116736412,0.0515841506421566,0.05190543457865715,0.05100047588348389,0.0516238734126091,0.05167920142412186,0.05101571977138519,0.05112718045711517,0.9995249879030111,0.006899008413125132,0.05166144296526909,0.026712505146861076,1.0103326199729628,0.013099448617250386,0.05243727355428446
3,40,2.352470636367798,0.3401360511779785,10.511507987976074,0.001,4704,4705,10,0.28934192657470703,0.08018851280212402,2.3358683586120605,0.8714133501052856,10.338433265686035,2.326152801513672,1.211734652519226,0.9945814106941362,0.051836948841810226,0.05142127349972725,0.051971979439258575,0.05203203484416008,0.05219383165240288,0.05113876610994339,0.05186598375439644,0.0522456169128418,0.051889628171920776,0.051848944276571274,0.05175669118762016,0.05178150162100792,0.05157285928726196,0.9995982391257231,0.007426532198522149,0.05182676762342453,0.027057217434048653,0.9993865776525014,0.007297236204002854,0.05096764490008354,0.0512908399105072,0.05160413682460785,0.05184383690357208,0.05189592391252518,0.05129053816199303,0.051760170608758926,0.05198437720537186,0.05170658975839615,0.05207522213459015,0.05282796919345856,0.05165630206465721,0.05170149728655815,1.000402906757493,0.007228845698304341,0.05220837891101837,0.02708224020898342,1.0001297108854454,0.007226471645353063,0.051836930215358734,0.05211165174841881,0.051111385226249695,0.05153168737888336,0.05126629397273064,0.05157408490777016,0.05180782824754715,0.051227569580078125,0.05126245692372322,0.05174252390861511,0.052579622715711594,0.051497675478458405,0.05162012577056885,1.0000642146828596,0.007321836134098548,0.051846712827682495,0.02692740596830845,0.9999973697811212,0.007240340592691179,0.05240212753415108,0.051816556602716446,0.05115266516804695,0.05246175453066826,0.051662322133779526,0.05149200186133385,0.05161122605204582,0.05196041241288185,0.05104713514447212,0.05165652185678482,0.051734164357185364,0.051049426198005676,0.05116421729326248,0.9994173448519142,0.007320877293294926,0.051798056811094284,0.026906607672572136,1.0150747304863175,0.016331128032541033,0.05323996422372292
4,50,2.3238372802734375,0.9566326141357422,10.21479606628418,0.001,4704,4705,10,0.2926640510559082,0.07804441452026367,2.318873405456543,0.8501594066619873,10.164216995239258,2.3129522800445557,1.211734652519226,0.9945748676869473,0.05187496915459633,0.05146712809801102,0.05200519785284996,0.052099231630563736,0.05225502327084541,0.05117964372038841,0.051927559077739716,0.05230766162276268,0.05192809924483299,0.05192976072430611,0.051816701889038086,0.05182553827762604,0.05160393938422203,0.999590484105597,0.007599346131217958,0.051888804882764816,0.027151592075824738,0.9993726691924928,0.007462830513257648,0.05100630968809128,0.05133521556854248,0.051626693457365036,0.05189837887883186,0.05194442719221115,0.05130479484796524,0.0518222413957119,0.05205392837524414,0.05172720551490784,0.05220049247145653,0.05295403301715851,0.05168311670422554,0.05171855539083481,1.0004340954253912,0.007389280969883599,0.05227597802877426,0.027177229523658752,1.0001403318912703,0.007392395226861849,0.05194208025932312,0.052209485322237015,0.05113404244184494,0.0515703447163105,0.051312293857336044,0.051600731909275055,0.051836710423231125,0.05126055330038071,0.05129134654998779,0.05183807387948036,0.05266673117876053,0.05152177810668945,0.051634855568408966,1.0000516549220033,0.00749857960187349,0.051908671855926514,0.027012350037693977,0.9999673612249814,0.007396598057911795,0.05244643986225128,0.05184539034962654,0.051169075071811676,0.052482347935438156,0.05169230327010155,0.051500704139471054,0.051652319729328156,0.05200425162911415,0.05105903372168541,0.05169883370399475,0.051773641258478165,0.0510527566075325,0.05117255076766014,0.9993896965192911,0.007498924679195673,0.05186428874731064,0.027002066373825073,1.0187748866107857,0.018647402922866364,0.05386491410287266
5,60,2.3134021759033203,0.9141156673431396,10.108757972717285,0.001,4704,4705,10,0.295398473739624,0.08423304557800293,2.3141543865203857,0.8076514005661011,10.116364479064941,2.3047521114349365,1.2542517185211182,0.9945725994444551,0.05189988762140274,0.05149901285767555,0.05202092230319977,0.05212930589914322,0.05228503793478012,0.051198236644268036,0.05195135995745659,0.05233122780919075,0.051942531019449234,0.05196656659245491,0.05184890702366829,0.05184140428900719,0.05161795765161514,0.9995888825253536,0.007671194654127889,0.05191376805305481,0.027190204709768295,0.9993666000463072,0.007510744894569456,0.051033299416303635,0.051366910338401794,0.051640477031469345,0.05192200839519501,0.05196763947606087,0.05131760239601135,0.05184825509786606,0.052083514630794525,0.05173594877123833,0.05225465074181557,0.053009554743766785,0.05170147866010666,0.05172888562083244,1.0004421876203051,0.007445753795621149,0.0523051843047142,0.027218231931328773,1.000139404660603,0.007449016883658203,0.051987577229738235,0.052251916378736496,0.05113893374800682,0.051587291061878204,0.05133191496133804,0.05160900205373764,0.051848385483026505,0.05127418786287308,0.051297638565301895,0.051885731518268585,0.052711110562086105,0.05152815952897072,0.05164079740643501,1.0000578926555828,0.007593265131231246,0.051938530057668686,0.027052905410528183,0.9999622193094632,0.007501793299072446,0.05246139317750931,0.05185360834002495,0.05116800591349602,0.05249634012579918,0.05171014741063118,0.051496267318725586,0.05167277157306671,0.05202168971300125,0.051049839705228806,0.051722265779972076,0.051790837198495865,0.05105637386441231,0.0511738620698452,0.9993984630637814,0.00762641823739662,0.051895223557949066,0.027049586176872253,1.0216669190619063,0.02040967066040615,0.05434779348592561
6,70,2.308189868927002,1.0204081535339355,10.056204795837402,0.001,4704,4705,10,0.28225064277648926,0.09223175048828125,2.3116281032562256,0.7438894510269165,10.090840339660645,2.301426410675049,1.318027138710022,0.9945726866845509,0.05192054808139801,0.05152533948421478,0.05203065276145935,0.05214066803455353,0.052295323461294174,0.05120701715350151,0.05196070671081543,0.05233979597687721,0.051947057247161865,0.05198975279927254,0.05186939239501953,0.05184902995824814,0.051621995866298676,0.9995836563161383,0.007698046806440885,0.05192337930202484,0.027206748723983765,0.9993584235576961,0.007534262177494026,0.051052313297986984,0.05138815566897392,0.05164194479584694,0.05193708464503288,0.051984526216983795,0.05132651701569557,0.05186097323894501,0.05209767445921898,0.05173979699611664,0.05227651074528694,0.05303177237510681,0.05170440301299095,0.05173283442854881,1.0004404174526678,0.007479897352726529,0.05231646075844765,0.027236392721533775,1.0001350213883577,0.007480504530762889,0.05200917273759842,0.05227219685912132,0.05114264413714409,0.051584891974925995,0.05132915452122688,0.05161074548959732,0.05185016989707947,0.051276661455631256,0.051301565021276474,0.051907844841480255,0.05273113772273064,0.05153375491499901,0.051645427942276,1.0000720539966825,0.007625665521023996,0.051949627697467804,0.02706768549978733,0.9999663497006172,0.007534033662549756,0.05247446894645691,0.051863644272089005,0.0511762909591198,0.05250324681401253,0.051719725131988525,0.05149927735328674,0.051686059683561325,0.05203169584274292,0.05106035992503166,0.05172834172844887,0.051798850297927856,0.05105862766504288,0.05117523670196533,0.9993878420579567,0.0076729239920058515,0.05190597474575043,0.027072995901107788,1.0239163806606297,0.021697633569872532,0.054728258448953
7,80,2.30385160446167,1.0629252195358276,10.012673377990723,0.001,4704,4705,10,0.3009035587310791,0.08112907409667969,2.3078136444091797,0.9139213562011719,10.052422523498535,2.298656463623047,1.1479591131210327,0.9945739952859887,0.05193927884101868,0.051555585116147995,0.05203807353973389,0.05214511975646019,0.05230177938938141,0.05121280625462532,0.05196414887905121,0.05234124884009361,0.05194681137800217,0.05200255662202835,0.05188252031803131,0.051849909126758575,0.05162394046783447,0.9995889668190506,0.007704228563737318,0.05192726477980614,0.02721242606639862,0.9993628068299412,0.007535091943574084,0.0510583259165287,0.051397912204265594,0.05164395272731781,0.05194970592856407,0.05200035870075226,0.051331471651792526,0.05186906456947327,0.052110157907009125,0.05173938348889351,0.05227803811430931,0.053037118166685104,0.05170457065105438,0.05173293501138687,1.0004385629913333,0.007486575652581981,0.052321579307317734,0.027243349701166153,1.000128362186293,0.007479132782552761,0.052016083151102066,0.052278269082307816,0.051138926297426224,0.051575928926467896,0.051322076469659805,0.051609646528959274,0.051850780844688416,0.05127669870853424,0.05129420384764671,0.051918335258960724,0.05274070426821709,0.051527801901102066,0.0516403503715992,1.0000568811312187,0.007639294758161206,0.05195512995123863,0.027074553072452545,0.9999243714395003,0.007558017853530487,0.052461106330156326,0.05184974521398544,0.05116045102477074,0.05249800160527229,0.05171962454915047,0.05149396136403084,0.05169137567281723,0.05203620716929436,0.051064662635326385,0.05170464143157005,0.05177534371614456,0.05105365440249443,0.051171302795410156,0.9993561476278765,0.0077012045273566615,0.05191037058830261,0.027086682617664337,1.0257189170777437,0.022782594866397173,0.055053107850874035
8,90,2.302553653717041,0.8503401279449463,9.999685287475586,0.001,4704,4705,10,0.2858245372772217,0.08086299896240234,2.30444598197937,0.9776833057403564,10.01862621307373,2.2964649200439453,1.084183692932129,0.9945760890482892,0.05196739733219147,0.05159357935190201,0.052045971155166626,0.05215207487344742,0.052307698875665665,0.05121402442455292,0.05196540430188179,0.052340611815452576,0.051945362240076065,0.05200035870075226,0.051895610988140106,0.05185326933860779,0.0516238808631897,0.9995914113362643,0.00770910179309639,0.05192936211824417,0.02721637859940529,0.9993701403815821,0.007541105772020983,0.051071543246507645,0.05141321197152138,0.051645103842020035,0.051962368190288544,0.05201844125986099,0.05133548378944397,0.05187549814581871,0.052121635526418686,0.051740001887083054,0.05228465050458908,0.05304625257849693,0.05170278996229172,0.05173484608530998,1.000445475074489,0.007489578615538383,0.05232302471995354,0.027248593047261238,1.0001431978769688,0.007475084050917683,0.05201873928308487,0.052282046526670456,0.051139116287231445,0.05157938227057457,0.051330819725990295,0.051605891436338425,0.051853034645318985,0.051277726888656616,0.051290836185216904,0.05192779004573822,0.05274902656674385,0.051532845944166183,0.05164189636707306,1.0000631188647982,0.007655940129144978,0.05195753276348114,0.0270818043500185,0.9999521040658205,0.0075592763320852414,0.05246473103761673,0.05185186117887497,0.05116516724228859,0.05249541252851486,0.05171988531947136,0.051494766026735306,0.05167948082089424,0.05202708765864372,0.051061294972896576,0.05169196426868439,0.05176344886422157,0.05104811489582062,0.05117158591747284,0.9993801713315277,0.007723697115026811,0.0519149973988533,0.027100596576929092,1.0273484828285688,0.023721645090466113,0.05534530764692204
9,100,2.3000168800354004,1.2755101919174194,9.974350929260254,0.001,4704,4705,10,0.27032470703125,0.08427143096923828,2.3040802478790283,0.9139213562011719,10.014963150024414,2.2953405380249023,1.211734652519226,0.994579142451644,0.05199216678738594,0.051629744470119476,0.05205532908439636,0.05215553566813469,0.052314870059490204,0.051215916872024536,0.05196555331349373,0.05233980715274811,0.05194564163684845,0.052011728286743164,0.05191604793071747,0.05185690149664879,0.05162601172924042,0.9995938558534779,0.0077109470348077575,0.05192859098315239,0.027216322720050812,0.9993730906609779,0.007541849268770495,0.05109089985489845,0.05143565684556961,0.051642563194036484,0.051980722695589066,0.052043166011571884,0.051343854516744614,0.051876261830329895,0.05212603136897087,0.05173973739147186,0.05228031054139137,0.053044114261865616,0.051700491458177567,0.051734860986471176,1.0004382258165452,0.007492783093114227,0.05232241377234459,0.027250150218605995,1.0001388988984208,0.007483429785467348,0.0520235151052475,0.05228785425424576,0.05113845318555832,0.05156955495476723,0.051323097199201584,0.051603350788354874,0.0518515519797802,0.05127597600221634,0.0512925386428833,0.05192897841334343,0.05274935066699982,0.05153492093086243,0.0516418032348156,1.000077870261777,0.007649878885493505,0.051957953721284866,0.027084816247224808,0.9999589318552793,0.007567692530897261,0.05246731638908386,0.05185278132557869,0.05116075277328491,0.0524761863052845,0.05171050876379013,0.051487989723682404,0.05166589841246605,0.05201656371355057,0.051058169454336166,0.05168653652071953,0.05176021531224251,0.05105265974998474,0.05116615816950798,0.9993716576681285,0.0077429595418853055,0.0519179068505764,0.027109021320939064,1.0287755751191479,0.024523236002294807,0.05562522839947873
