epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value
0,1,5.562445163726807,0.0,260.45892333984375,0.0001,5.564263343811035,0.0,260.93292236328125,transformer,embedding,2
1,2,5.562445163726807,0.0,260.45892333984375,0.0002,5.431116580963135,0.0,228.4041290283203,transformer,embedding,2
2,3,5.429388999938965,0.0,228.0098876953125,0.0003,5.170023441314697,0.0,175.91896057128906,transformer,embedding,2
3,4,5.16848611831665,0.0,175.6487274169922,0.0004,4.798576354980469,0.0,121.33755493164062,transformer,embedding,2
4,5,4.797344207763672,0.0,121.18814086914062,0.0005,4.356882572174072,0.0,78.0135498046875,transformer,embedding,2
5,6,4.35596227645874,0.0,77.94178771972656,0.0006,3.9102628231048584,0.0,49.91206741333008,transformer,embedding,2
6,7,3.909489631652832,0.0,49.87349319458008,0.0007,3.537014961242676,0.0,34.36418914794922,transformer,embedding,2
7,8,3.536214590072632,0.0,34.336692810058594,0.0008,3.293222665786743,0.0,26.929508209228516,transformer,embedding,2
8,9,3.292337417602539,0.0,26.90567970275879,0.0009000000000000001,3.168703556060791,0.0,23.776639938354492,transformer,embedding,2
9,10,3.167649984359741,0.0,23.751602172851562,0.001,3.099203586578369,0.0,22.180278778076172,transformer,embedding,2
10,11,3.0978941917419434,0.0,22.151256561279297,0.001,3.0264532566070557,0.0,20.62395477294922,transformer,embedding,2
11,12,3.024730920791626,0.0,20.588464736938477,0.001,2.9341259002685547,0.0,18.8050594329834,transformer,embedding,2
12,13,2.9318556785583496,0.0,18.762414932250977,0.001,2.834350824356079,0.0,17.01934814453125,transformer,embedding,2
13,14,2.8314332962036133,0.0,16.96976661682129,0.001,2.7529256343841553,0.0,15.68846321105957,transformer,embedding,2
14,15,2.749324083328247,0.0,15.632061958312988,0.001,2.698197841644287,0.0,14.852940559387207,transformer,embedding,2
15,16,2.693769931793213,0.0,14.787318229675293,0.001,2.6544692516326904,0.0,14.217437744140625,transformer,embedding,2
16,17,2.6492607593536377,0.0,14.143579483032227,0.001,2.6068692207336426,0.0,13.556541442871094,transformer,embedding,2
17,18,2.6009700298309326,0.0,13.476804733276367,0.001,2.555807590484619,0.0,12.881698608398438,transformer,embedding,2
18,19,2.5494046211242676,0.0,12.799481391906738,0.001,2.5099148750305176,0.0,12.303882598876953,transformer,embedding,2
19,20,2.5030531883239746,0.0,12.219746589660645,0.001,2.4741241931915283,0.3897254168987274,11.871305465698242,transformer,embedding,2
20,21,2.4667446613311768,0.6907545328140259,11.78402328491211,0.001,2.447737455368042,0.8503099679946899,11.56215763092041,transformer,embedding,2
21,22,2.4397177696228027,1.2486716508865356,11.469802856445312,0.001,2.4280288219451904,0.8857395648956299,11.33651351928711,transformer,embedding,2
22,23,2.4193029403686523,1.354941487312317,11.238022804260254,0.001,2.4127283096313477,0.9211691617965698,11.164379119873047,transformer,embedding,2
23,24,2.4032788276672363,1.3018065690994263,11.059378623962402,0.001,2.400449514389038,0.9920282959938049,11.028132438659668,transformer,embedding,2
24,25,2.390242576599121,1.1955366134643555,10.916141510009766,0.001,2.3903801441192627,0.9211691617965698,10.917643547058105,transformer,embedding,2
25,26,2.379412889480591,1.1689691543579102,10.798561096191406,0.001,2.3819713592529297,0.8503099679946899,10.826224327087402,transformer,embedding,2
26,27,2.370290517807007,1.3283740282058716,10.70050048828125,0.001,2.374781608581543,0.7263064384460449,10.748665809631348,transformer,embedding,2
27,28,2.362438201904297,1.1424016952514648,10.616806030273438,0.001,2.3684263229370117,0.8148804306983948,10.680571556091309,transformer,embedding,2
28,29,2.355506181716919,1.2486716508865356,10.543464660644531,0.001,2.362581253051758,0.9034543633460999,10.618324279785156,transformer,embedding,2
29,30,2.349220037460327,1.408076524734497,10.477394104003906,0.001,2.357095718383789,0.9565987586975098,10.560236930847168,transformer,embedding,2
30,31,2.3434231281280518,1.408076524734497,10.416833877563477,0.001,2.3519742488861084,0.9388839602470398,10.506291389465332,transformer,embedding,2
31,32,2.338127851486206,1.354941487312317,10.36181926727295,0.001,2.3472964763641357,0.8857395648956299,10.457260131835938,transformer,embedding,2
32,33,2.3333983421325684,1.275239109992981,10.312929153442383,0.001,2.343130588531494,0.708591639995575,10.413786888122559,transformer,embedding,2
33,34,2.329286813735962,1.275239109992981,10.270613670349121,0.001,2.339463233947754,0.9211691617965698,10.375665664672852,transformer,embedding,2
34,35,2.3257431983947754,1.5940488576889038,10.234283447265625,0.001,2.336236000061035,0.83259516954422,10.34223461151123,transformer,embedding,2
35,36,2.3226757049560547,1.354941487312317,10.202938079833984,0.001,2.333350419998169,0.7971656322479248,10.312435150146484,transformer,embedding,2
36,37,2.319962501525879,1.3283740282058716,10.17529296875,0.001,2.330714702606201,0.8680247664451599,10.285289764404297,transformer,embedding,2
37,38,2.3174891471862793,1.408076524734497,10.15015697479248,0.001,2.328277826309204,0.7440212368965149,10.26025676727295,transformer,embedding,2
38,39,2.315200090408325,1.354941487312317,10.126949310302734,0.001,2.326031446456909,0.7794508337974548,10.237234115600586,transformer,embedding,2
39,40,2.3130767345428467,1.3018065690994263,10.10546875,0.001,2.323965549468994,0.8680247664451599,10.216106414794922,transformer,embedding,2
40,41,2.31111478805542,1.2486716508865356,10.085661888122559,0.001,2.322108745574951,0.7794508337974548,10.197154998779297,transformer,embedding,2
41,42,2.309326171875,1.2486716508865356,10.067638397216797,0.001,2.3204731941223145,0.7617360353469849,10.180490493774414,transformer,embedding,2
42,43,2.307708263397217,1.4346439838409424,10.051362991333008,0.001,2.3190367221832275,0.8503099679946899,10.165877342224121,transformer,embedding,2
43,44,2.3062663078308105,1.408076524734497,10.036879539489746,0.001,2.3177897930145264,0.8680247664451599,10.15320873260498,transformer,embedding,2
44,45,2.304980516433716,1.408076524734497,10.023983001708984,0.001,2.316694736480713,0.9565987586975098,10.142096519470215,transformer,embedding,2
45,46,2.3038132190704346,1.5143464803695679,10.012289047241211,0.001,2.3157174587249756,0.83259516954422,10.132189750671387,transformer,embedding,2
46,47,2.3027350902557373,1.4346439838409424,10.001500129699707,0.001,2.3148295879364014,0.7617360353469849,10.123197555541992,transformer,embedding,2
47,48,2.301731824874878,1.2221040725708008,9.991471290588379,0.001,2.3140294551849365,0.6377325057983398,10.115100860595703,transformer,embedding,2
48,49,2.300776958465576,1.2221040725708008,9.981934547424316,0.001,2.31329345703125,0.690876841545105,10.107659339904785,transformer,embedding,2
49,50,2.299882173538208,1.3283740282058716,9.973007202148438,0.001,2.312643527984619,0.8680247664451599,10.101092338562012,transformer,embedding,2
50,51,2.2990400791168213,1.3018065690994263,9.96461296081543,0.001,2.3120782375335693,0.8148804306983948,10.095383644104004,transformer,embedding,2
51,52,2.2982685565948486,1.275239109992981,9.956927299499512,0.001,2.311593532562256,0.9034543633460999,10.09049129486084,transformer,embedding,2
52,53,2.2975594997406006,1.3283740282058716,9.949870109558105,0.001,2.3111748695373535,0.7971656322479248,10.086267471313477,transformer,embedding,2
53,54,2.296891689300537,1.3018065690994263,9.943227767944336,0.001,2.3108062744140625,0.8857395648956299,10.082551002502441,transformer,embedding,2
54,55,2.296255588531494,1.3283740282058716,9.936904907226562,0.001,2.3104734420776367,0.8503099679946899,10.079195022583008,transformer,embedding,2
55,56,2.2956268787384033,1.4612114429473877,9.930659294128418,0.001,2.3101673126220703,0.8857395648956299,10.07611083984375,transformer,embedding,2
56,57,2.2950055599212646,1.4612114429473877,9.924490928649902,0.001,2.309875249862671,0.9034543633460999,10.07316780090332,transformer,embedding,2
57,58,2.2943882942199707,1.5143464803695679,9.918367385864258,0.001,2.3096070289611816,0.8680247664451599,10.070466041564941,transformer,embedding,2
58,59,2.293778657913208,1.5409139394760132,9.912322044372559,0.001,2.309343099594116,0.8680247664451599,10.067809104919434,transformer,embedding,2
59,60,2.2931883335113525,1.5409139394760132,9.906472206115723,0.001,2.3091022968292236,0.8857395648956299,10.065384864807129,transformer,embedding,2
60,61,2.2926158905029297,1.5674813985824585,9.900803565979004,0.001,2.3088765144348145,0.8503099679946899,10.063112258911133,transformer,embedding,2
61,62,2.292055606842041,1.487778902053833,9.895257949829102,0.001,2.308659076690674,0.8680247664451599,10.060924530029297,transformer,embedding,2
62,63,2.2915031909942627,1.4612114429473877,9.889792442321777,0.001,2.3084428310394287,0.8148804306983948,10.058749198913574,transformer,embedding,2
63,64,2.2909510135650635,1.487778902053833,9.884333610534668,0.001,2.3082406520843506,0.7971656322479248,10.056715965270996,transformer,embedding,2
64,65,2.2903895378112793,1.5674813985824585,9.878785133361816,0.001,2.3080663681030273,0.8680247664451599,10.054963111877441,transformer,embedding,2
65,66,2.289823055267334,1.6206163167953491,9.873190879821777,0.001,2.3079121112823486,0.8503099679946899,10.053412437438965,transformer,embedding,2
66,67,2.2892420291900635,1.487778902053833,9.86745548248291,0.001,2.3078198432922363,0.8857395648956299,10.052484512329102,transformer,embedding,2
67,68,2.288668632507324,1.6471837759017944,9.861799240112305,0.001,2.30777645111084,0.9565987586975098,10.052048683166504,transformer,embedding,2
68,69,2.2880771160125732,1.6471837759017944,9.85596752166748,0.001,2.307795763015747,0.9211691617965698,10.052242279052734,transformer,embedding,2
69,70,2.2874791622161865,1.72688627243042,9.850075721740723,0.001,2.30785870552063,0.9034543633460999,10.052875518798828,transformer,embedding,2
70,71,2.286862850189209,1.7003188133239746,9.84400749206543,0.001,2.307976484298706,0.8680247664451599,10.054059982299805,transformer,embedding,2
71,72,2.286214828491211,1.7003188133239746,9.837630271911621,0.001,2.308119297027588,0.8503099679946899,10.055495262145996,transformer,embedding,2
72,73,2.2855331897735596,1.7003188133239746,9.830926895141602,0.001,2.308293104171753,0.8857395648956299,10.057243347167969,transformer,embedding,2
73,74,2.2848196029663086,1.859723687171936,9.82391357421875,0.001,2.3085103034973145,0.8148804306983948,10.059428215026855,transformer,embedding,2
74,75,2.28405499458313,2.0191285610198975,9.816405296325684,0.001,2.3087611198425293,0.9034543633460999,10.061951637268066,transformer,embedding,2
75,76,2.2832462787628174,2.0988309383392334,9.808469772338867,0.001,2.309032917022705,0.8857395648956299,10.06468677520752,transformer,embedding,2
76,77,2.2823801040649414,1.9925611019134521,9.79997730255127,0.001,2.309345245361328,0.9211691617965698,10.067830085754395,transformer,embedding,2
77,78,2.2814598083496094,2.0988309383392334,9.790963172912598,0.001,2.309694290161133,0.8503099679946899,10.071345329284668,transformer,embedding,2
78,79,2.2804641723632812,2.151965856552124,9.781219482421875,0.001,2.310086727142334,0.8680247664451599,10.075298309326172,transformer,embedding,2
79,80,2.2793827056884766,2.0191285610198975,9.770647048950195,0.001,2.3105390071868896,0.9034543633460999,10.079855918884277,transformer,embedding,2
80,81,2.2782092094421387,2.0456960201263428,9.759187698364258,0.001,2.311091661453247,0.83259516954422,10.085428237915039,transformer,embedding,2
81,82,2.276906728744507,2.1785335540771484,9.746484756469727,0.001,2.3117728233337402,0.8503099679946899,10.092300415039062,transformer,embedding,2
82,83,2.2754769325256348,2.2582359313964844,9.732560157775879,0.001,2.3126237392425537,0.8857395648956299,10.100892066955566,transformer,embedding,2
83,84,2.2738826274871826,2.391073226928711,9.717055320739746,0.001,2.3136653900146484,0.8680247664451599,10.111418724060059,transformer,embedding,2
84,85,2.272113800048828,2.4973433017730713,9.699882507324219,0.001,2.3148906230926514,0.7794508337974548,10.123815536499023,transformer,embedding,2
