epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value,total_param_l2_norm,embed_l2_norm,attn_qkv_l2_norm,attn_out_l2_norm,ffn_linear1_l2_norm,ffn_linear2_l2_norm,layer_norm_l2_norm,bias_l2_norm
0,6,4.134256839752197,0.0,62.44316864013672,0.0006,3.0470030307769775,0.0,21.052156448364258,transformer,embedding,2,526.7599910125136,161.26116943359375,0.0,0.0,0.0,0.0,0.0,0.08278139680624008
1,12,2.657773017883301,0.07084661722183228,14.264487266540527,0.001,2.4114718437194824,0.956574559211731,11.150361061096191,transformer,embedding,2,528.0537739098072,161.19642639160156,0.0,0.0,0.0,0.0,0.0,0.18851307034492493
2,18,2.3344085216522217,1.275239109992981,10.323351860046387,0.001,2.313656806945801,0.835104763507843,10.111331939697266,transformer,embedding,2,529.8811061903834,161.1265106201172,0.0,0.0,0.0,0.0,0.0,0.2586744353175163
3,24,2.303534507751465,1.0272759199142456,10.009498596191406,0.001,2.3080501556396484,0.9110233783721924,10.054800033569336,transformer,embedding,2,531.3369557932019,161.06576538085938,0.0,0.0,0.0,0.0,0.0,0.30111146718263626
4,30,2.297355890274048,1.0981225967407227,9.947844505310059,0.001,2.306612491607666,1.0021257400512695,10.040355682373047,transformer,embedding,2,532.2976008951664,161.01116943359375,0.0,0.0,0.0,0.0,0.0,0.3270553648471832
5,36,2.2941575050354004,1.275239109992981,9.916078567504883,0.001,2.30735445022583,0.956574559211731,10.047807693481445,transformer,embedding,2,532.8438295945525,160.96018981933594,0.0,0.0,0.0,0.0,0.0,0.3439337834715843
6,42,2.293001413345337,1.1689691543579102,9.904621124267578,0.001,2.3041398525238037,0.956574559211731,10.015560150146484,transformer,embedding,2,533.1514452919364,160.91201782226562,0.0,0.0,0.0,0.0,0.0,0.35471000522375107
7,48,2.28951096534729,1.3815090656280518,9.870109558105469,0.001,2.3041226863861084,0.9413908123970032,10.015387535095215,transformer,embedding,2,533.330616004765,160.86643981933594,0.0,0.0,0.0,0.0,0.0,0.3619692400097847
8,54,2.290264129638672,1.3106623888015747,9.877546310424805,0.001,2.3051300048828125,0.8502885103225708,10.025481224060059,transformer,embedding,2,533.4448026120663,160.82322692871094,0.0,0.0,0.0,0.0,0.0,0.36742863059043884
9,60,2.2885847091674805,1.062699317932129,9.860971450805664,0.001,2.30439829826355,0.956574559211731,10.018148422241211,transformer,embedding,2,533.5446163415909,160.78311157226562,0.0,0.0,0.0,0.0,0.0,0.3715108633041382
10,66,2.285616159439087,1.1689691543579102,9.831742286682129,0.001,2.308030605316162,0.7743698954582214,10.054603576660156,transformer,embedding,2,533.6675539314747,160.7469024658203,0.0,0.0,0.0,0.0,0.0,0.3743789494037628
11,72,2.280663013458252,1.771165370941162,9.783164978027344,0.001,2.3099799156188965,0.9413908123970032,10.074222564697266,transformer,embedding,2,533.8844680935144,160.7170867919922,0.0,0.0,0.0,0.0,0.0,0.3762538582086563
12,78,2.273442268371582,1.6648955345153809,9.712777137756348,0.001,NaN,NaN,NaN,transformer,embedding,2,534.2743665277958,160.6976318359375,0.0,0.0,0.0,0.0,0.0,0.3777121603488922
13,84,2.2585151195526123,2.408784866333008,9.568869590759277,0.001,2.3227956295013428,0.6529000997543335,10.204161643981934,transformer,embedding,2,534.8984990566969,160.69351196289062,0.0,0.0,0.0,0.0,0.0,0.37614111602306366
14,90,2.2348411083221436,3.6131772994995117,9.344996452331543,0.001,NaN,NaN,NaN,transformer,embedding,2,535.8315153717995,160.70997619628906,0.0,0.0,0.0,0.0,0.0,0.3772123456001282
15,96,2.164494514465332,5.7385759353637695,8.710197448730469,0.001,2.440539836883545,0.7895535826683044,11.479235649108887,transformer,embedding,2,537.0961863547564,160.7427520751953,0.0,0.0,0.0,0.0,0.0,0.37643833458423615
16,102,2.0663866996765137,9.52886962890625,7.896240234375,0.001,NaN,NaN,NaN,transformer,embedding,2,538.6673163250089,160.77090454101562,0.0,0.0,0.0,0.0,0.0,0.375572569668293
17,108,1.9660310745239258,12.75239086151123,7.14227294921875,0.001,2.5701651573181152,0.9110233783721924,13.06798267364502,transformer,embedding,2,540.2998952940106,160.785400390625,0.0,0.0,0.0,0.0,0.0,0.3710498884320259
18,114,1.8591790199279785,20.120439529418945,6.4184651374816895,0.001,NaN,NaN,NaN,transformer,embedding,2,542.252141661942,160.7945556640625,0.0,0.0,0.0,0.0,0.0,0.3692614510655403
19,120,1.7465662956237793,25.2922420501709,5.734877109527588,0.001,NaN,NaN,NaN,transformer,embedding,2,544.3634217306972,160.79441833496094,0.0,0.0,0.0,0.0,0.0,0.3656931445002556
20,126,1.6284091472625732,31.172510147094727,5.095761775970459,0.001,2.6540141105651855,2.4142119884490967,14.210968971252441,transformer,embedding,2,546.611309543252,160.7889862060547,0.0,0.0,0.0,0.0,0.0,0.36266614496707916
22,138,1.3615888357162476,44.102020263671875,3.902388572692871,0.001,NaN,NaN,NaN,transformer,embedding,2,551.634762249887,160.76345825195312,0.0,0.0,0.0,0.0,0.0,0.3631445989012718
23,144,NaN,NaN,NaN,NaN,2.7032835483551025,5.147282123565674,14.928669929504395,transformer,embedding,2,554.3291828259826,160.7431640625,0.0,0.0,0.0,0.0,0.0,0.3668315038084984
24,150,1.0711041688919067,61.24690246582031,2.91860032081604,0.001,NaN,NaN,NaN,transformer,embedding,2,557.1102728098631,160.72210693359375,0.0,0.0,0.0,0.0,0.0,0.37438933551311493
26,162,0.7482326030731201,78.81686401367188,2.1132616996765137,0.001,NaN,NaN,NaN,transformer,embedding,2,562.640605352819,160.67185974121094,0.0,0.0,0.0,0.0,0.0,0.3940552696585655
27,168,NaN,NaN,NaN,NaN,2.746375322341919,12.329183578491211,15.586034774780273,transformer,embedding,2,565.3156303912401,160.6455841064453,0.0,0.0,0.0,0.0,0.0,0.40574879944324493
28,174,0.4677197337150574,93.0216064453125,1.5963499546051025,0.001,NaN,NaN,NaN,transformer,embedding,2,567.8382129371166,160.61741638183594,0.0,0.0,0.0,0.0,0.0,0.4168808162212372
30,186,0.24376103281974792,98.93730163574219,1.2760393619537354,0.001,NaN,NaN,NaN,transformer,embedding,2,572.316749215126,160.55235290527344,0.0,0.0,0.0,0.0,0.0,0.4404059648513794
32,198,NaN,NaN,NaN,NaN,2.8468918800354004,18.93410301208496,17.234132766723633,transformer,embedding,2,575.7820032462478,160.47882080078125,0.0,0.0,0.0,0.0,0.0,0.4585615023970604
33,204,0.07425907254219055,99.9645767211914,1.0770858526229858,0.001,NaN,NaN,NaN,transformer,embedding,2,577.0569598004222,160.43792724609375,0.0,0.0,0.0,0.0,0.0,0.46385615319013596
36,222,0.02727273665368557,100.0,1.0276480913162231,0.001,NaN,NaN,NaN,transformer,embedding,2,579.4516481310129,160.3074188232422,0.0,0.0,0.0,0.0,0.0,0.4757501035928726
38,234,NaN,NaN,NaN,NaN,2.9214026927948,22.5174617767334,18.56731414794922,transformer,embedding,2,580.2123475596309,160.2150421142578,0.0,0.0,0.0,0.0,0.0,0.4783800169825554
39,240,0.01402588002383709,100.0,1.0141247510910034,0.001,NaN,NaN,NaN,transformer,embedding,2,580.4662560075521,160.16839599609375,0.0,0.0,0.0,0.0,0.0,0.48013244569301605
42,258,0.00918014906346798,100.0,1.009222388267517,0.001,NaN,NaN,NaN,transformer,embedding,2,580.9192726314068,160.0262451171875,0.0,0.0,0.0,0.0,0.0,0.4823867976665497
45,276,NaN,NaN,NaN,NaN,2.967538833618164,23.30701446533203,19.444005966186523,transformer,embedding,2,581.1816749572754,159.88333129882812,0.0,0.0,0.0,0.0,0.0,0.4839303493499756
46,282,0.00617661327123642,100.0,1.0061957836151123,0.001,NaN,NaN,NaN,transformer,embedding,2,581.2511538416147,159.83575439453125,0.0,0.0,0.0,0.0,0.0,0.4846247583627701
50,306,0.00441263522952795,100.0,1.0044224262237549,0.001,NaN,NaN,NaN,transformer,embedding,2,581.4743621274829,159.64527893066406,0.0,0.0,0.0,0.0,0.0,0.4866919443011284
53,324,NaN,NaN,NaN,NaN,3.0081751346588135,23.808076858520508,20.250411987304688,transformer,embedding,2,581.6150354370475,159.50262451171875,0.0,0.0,0.0,0.0,0.0,0.4880935177206993
55,336,0.0029834832530468702,100.0,1.0029879808425903,0.001,NaN,NaN,NaN,transformer,embedding,2,581.7010886445642,159.40757751464844,0.0,0.0,0.0,0.0,0.0,0.48894641548395157
60,366,0.002044507535174489,100.0,1.0020465850830078,0.001,NaN,NaN,NaN,transformer,embedding,2,581.8840476199985,159.17007446289062,0.0,0.0,0.0,0.0,0.0,0.4909399673342705
63,384,NaN,NaN,NaN,NaN,3.0563113689422607,24.339508056640625,21.249032974243164,transformer,embedding,2,581.9818856418133,159.02783203125,0.0,0.0,0.0,0.0,0.0,0.4922747313976288
66,402,0.0013254198711365461,100.0,1.001326322555542,0.001,NaN,NaN,NaN,transformer,embedding,2,582.0699085667729,158.88568115234375,0.0,0.0,0.0,0.0,0.0,0.49351830035448074
72,438,0.0008642037282697856,100.0,1.0008646249771118,0.001,NaN,NaN,NaN,transformer,embedding,2,582.2210581377149,158.60174560546875,0.0,0.0,0.0,0.0,0.0,0.4956631734967232
75,456,NaN,NaN,NaN,NaN,3.117119073867798,24.67354965209961,22.58123016357422,transformer,embedding,2,582.2894540801644,158.45997619628906,0.0,0.0,0.0,0.0,0.0,0.4967847838997841
79,480,0.0005281424964778125,100.0,1.000528335571289,0.001,NaN,NaN,NaN,transformer,embedding,2,582.3711425289512,158.27113342285156,0.0,0.0,0.0,0.0,0.0,0.498316191136837
86,522,0.0003269396838732064,100.0,1.0003269910812378,0.001,NaN,NaN,NaN,transformer,embedding,2,582.4826368838549,157.94122314453125,0.0,0.0,0.0,0.0,0.0,0.5008654147386551
89,540,NaN,NaN,NaN,NaN,3.1858816146850586,25.09869384765625,24.1886043548584,transformer,embedding,2,582.5213648825884,157.80001831054688,0.0,0.0,0.0,0.0,0.0,0.5020336657762527
94,570,0.00018979012384079397,100.0,1.0001897811889648,0.001,NaN,NaN,NaN,transformer,embedding,2,582.5740679427981,157.56491088867188,0.0,0.0,0.0,0.0,0.0,0.503871314227581
103,624,0.0001039350827340968,100.0,1.0001039505004883,0.001,NaN,NaN,NaN,transformer,embedding,2,582.6390711218119,157.14266967773438,0.0,0.0,0.0,0.0,0.0,0.5072552114725113
106,642,NaN,NaN,NaN,NaN,3.2777915000915527,25.478286743164062,26.51714515686035,transformer,embedding,2,582.6495255157351,157.00218200683594,0.0,0.0,0.0,0.0,0.0,0.508357398211956
113,684,5.335468813427724e-05,100.0,1.0000534057617188,0.001,NaN,NaN,NaN,transformer,embedding,2,582.6590349525213,156.67477416992188,0.0,0.0,0.0,0.0,0.0,0.5110270828008652
