epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding,k_value,total_param_l2_norm
0,8,3.7528903484344482,0.0,42.644161224365234,0.0008,2.5636672973632812,0.0,12.983344078063965,transformer,embedding,2,525.618574142456
1,16,2.411325216293335,0.6641870141029358,11.148725509643555,0.001,2.319946527481079,0.956598699092865,10.175129890441895,transformer,embedding,2,527.7319871075451
2,24,2.3115482330322266,1.1689691543579102,10.090034484863281,0.001,2.3063418865203857,0.8503099679946899,10.037638664245605,transformer,embedding,2,529.6413848027587
3,32,2.300579786300659,0.9564293622970581,9.97996711730957,0.001,2.3057050704956055,0.9565987586975098,10.031248092651367,transformer,embedding,2,530.6949222311378
4,40,2.299623489379883,0.9829967617988586,9.970427513122559,0.001,2.3004150390625,0.81488037109375,9.978322982788086,transformer,embedding,2,531.188402608037
5,48,2.2968554496765137,0.9829968214035034,9.942867279052734,0.001,2.3070521354675293,0.56687331199646,10.044770240783691,transformer,embedding,2,531.3910538926721
6,56,2.293667793273926,1.1689691543579102,9.911223411560059,0.001,2.3039090633392334,0.8503099679946899,10.013248443603516,transformer,embedding,2,531.4621524140239
7,64,2.2927823066711426,1.354941487312317,9.902451515197754,0.001,2.3039650917053223,0.8680247664451599,10.013809204101562,transformer,embedding,2,531.504006922245
8,72,2.291361093521118,1.5674813985824585,9.888387680053711,0.001,2.3052186965942383,0.83259516954422,10.026371002197266,transformer,embedding,2,531.5947014316916
9,80,2.286851644515991,1.275239109992981,9.843896865844727,0.001,2.3066070079803467,0.673162043094635,10.040300369262695,transformer,embedding,2,531.7704109847546
10,88,2.279693365097046,1.5143463611602783,9.773682594299316,0.001,2.324936866760254,0.708591639995575,10.226034164428711,transformer,embedding,2,532.1274931058288
11,96,2.270951271057129,2.1785335540771484,9.688612937927246,0.001,NaN,NaN,NaN,transformer,embedding,2,532.6824854835868
12,104,2.2373008728027344,2.4973433017730713,9.368011474609375,0.001,2.388077735900879,0.7263064384460449,10.892535209655762,transformer,embedding,2,533.6792388558388
13,112,2.18229603767395,5.100956439971924,8.8666410446167,0.001,NaN,NaN,NaN,transformer,embedding,2,534.9054728522897
14,120,2.1142661571502686,7.731137275695801,8.283504486083984,0.001,2.534682035446167,0.6554473042488098,12.612420082092285,transformer,embedding,2,536.5655482709408
15,128,1.9989874362945557,12.380446434020996,7.381577968597412,0.001,NaN,NaN,NaN,transformer,embedding,2,538.3240655213594
16,136,1.8873556852340698,18.54410171508789,6.601888179779053,0.001,2.609212875366211,1.2754650115966797,13.588351249694824,transformer,embedding,2,540.1969562247396
17,144,1.772583246231079,25.34537696838379,5.886038780212402,0.001,NaN,NaN,NaN,transformer,embedding,2,542.2953215688467
18,152,1.6461716890335083,31.668437957763672,5.187084197998047,0.001,2.623056411743164,2.7103631496429443,13.777770042419434,transformer,embedding,2,544.5934022814035
19,160,1.5136075019836426,37.539852142333984,4.543090343475342,0.001,NaN,NaN,NaN,transformer,embedding,2,547.077265560627
20,168,1.3727554082870483,43.730072021484375,3.946209192276001,0.001,2.6163089275360107,5.739592552185059,13.685117721557617,transformer,embedding,2,549.7212260812521
21,176,1.2255264520645142,49.468650817871094,3.405958652496338,0.001,NaN,NaN,NaN,transformer,embedding,2,552.5437227711082
22,184,1.0828073024749756,55.65887451171875,2.95295786857605,0.001,2.59954571723938,11.319751739501953,13.457623481750488,transformer,embedding,2,555.4964733868837
23,192,0.928757905960083,63.01806640625,2.531363010406494,0.001,NaN,NaN,NaN,transformer,embedding,2,558.4756688438356
24,200,0.7696126103401184,71.30712127685547,2.1589298248291016,0.001,2.540085792541504,19.610273361206055,12.680758476257324,transformer,embedding,2,561.4910872988403
25,208,0.6112943887710571,79.62274169921875,1.8428151607513428,0.001,NaN,NaN,NaN,transformer,embedding,2,564.5007712692022
