epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,len_train_ds,len_val_ds,batches_per_epoch,time_per_epoch,fwd_time_in_epoch,val_loss,val_accuracy,val_perplexity,full_train_loss,full_train_acc,paramnorm_embedding.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.0.self_attn.Wo.weight,paramnorm_decoder.blocks.0.self_attn_norm.weight,paramnorm_decoder.blocks.0.self_attn_norm.bias,paramnorm_decoder.blocks.0.ffn.ffn.0.weight,paramnorm_decoder.blocks.0.ffn.ffn.2.weight,paramnorm_decoder.blocks.0.ffn_norm.weight,paramnorm_decoder.blocks.0.ffn_norm.bias,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_decoder.blocks.1.self_attn.Wo.weight,paramnorm_decoder.blocks.1.self_attn_norm.weight,paramnorm_decoder.blocks.1.self_attn_norm.bias,paramnorm_decoder.blocks.1.ffn.ffn.0.weight,paramnorm_decoder.blocks.1.ffn.ffn.2.weight,paramnorm_decoder.blocks.1.ffn_norm.weight,paramnorm_decoder.blocks.1.ffn_norm.bias,paramnorm_linear.weight
0,15,4.016238689422607,0.0,55.49198913574219,0.001,7372,1940,15,0.7585387229919434,0.5289568901062012,3.548823356628418,0.0,34.772377014160156,2.7385666370391846,0.0,0.9933808997351016,0.051146019250154495,0.05091025307774544,0.05067224055528641,0.05133035033941269,0.050808411091566086,0.05049147456884384,0.050731975585222244,0.05094755068421364,0.051010265946388245,0.05112852156162262,0.050403058528900146,0.050507958978414536,0.05088840052485466,0.9898970461228795,0.006043511682051005,0.050977643579244614,0.026037169620394707,0.9897664751861928,0.005986125455080883,0.05023400858044624,0.050378475338220596,0.05104260891675949,0.05093429237604141,0.050996001809835434,0.05044882744550705,0.05110533908009529,0.050423428416252136,0.050633080303668976,0.051015377044677734,0.05147196725010872,0.05096760764718056,0.05082618072628975,0.9897303131901705,0.006122577852768426,0.050939422100782394,0.026087062433362007,0.9925715165419868,0.00698197646005235,0.05077807598127814
1,30,2.43755841255188,0.5425935983657837,11.445062637329102,0.001,7372,1940,15,0.18011116981506348,0.05816459655761719,3.8356964588165283,0.0,46.325679779052734,2.264772415161133,1.3157894611358643,0.9783926150670582,0.05145404860377312,0.05139004811644554,0.05058125779032707,0.05066957324743271,0.05021179839968681,0.04990430176258087,0.05033799260854721,0.050422072410583496,0.05060332268476486,0.05119543522596359,0.05047052353620529,0.05012974888086319,0.05047674477100372,0.9748250802142927,0.008334579464244282,0.05091490596532822,0.02673375979065895,0.9747090920871908,0.007951655589187569,0.05028190463781357,0.05024758726358414,0.05047103390097618,0.05091732740402222,0.05110254883766174,0.04993598535656929,0.05092807859182358,0.05030091851949692,0.050104908645153046,0.050990696996450424,0.05139250308275223,0.05053900182247162,0.05026599392294884,0.9744609314431586,0.008250537331224543,0.05083439499139786,0.02673092857003212,0.9861521300452926,0.014199555120369614,0.05148999878348744
2,45,2.2352395057678223,1.1258816719055176,9.34872055053711,0.001,7372,1940,15,0.1753535270690918,0.05638861656188965,4.183048725128174,0.0,65.56543731689453,2.205704689025879,1.3157894611358643,0.9637559952253987,0.05126211419701576,0.051264964044094086,0.05009757727384567,0.049985017627477646,0.049589067697525024,0.049203790724277496,0.04973196983337402,0.049767542630434036,0.049956049770116806,0.05076095834374428,0.050037216395139694,0.04952523112297058,0.049839556217193604,0.9601914415302193,0.008846474671377853,0.0504399798810482,0.026728160679340363,0.9600853157656688,0.008422210664832525,0.049872659146785736,0.049768902361392975,0.049777284264564514,0.05045843496918678,0.05068039521574974,0.04933862015604973,0.05045270174741745,0.049832940101623535,0.04945669323205948,0.05063518509268761,0.05096840113401413,0.04998835548758507,0.04961426183581352,0.959749573970431,0.008772514196230822,0.05035364627838135,0.026669716462492943,0.9793144782239761,0.01928508474083619,0.0521151122378169
3,60,2.202147960662842,0.9766684770584106,9.044419288635254,0.001,7372,1940,15,0.17828154563903809,0.0557711124420166,4.4649128913879395,0.0,86.91345977783203,2.1910793781280518,1.4107433557510376,0.9493793508693814,0.05065344274044037,0.05066860839724541,0.04939333349466324,0.04925825074315071,0.04888521507382393,0.04847842454910278,0.049018822610378265,0.04904539883136749,0.04923585057258606,0.05008108168840408,0.04936286062002182,0.048815660178661346,0.049123916774988174,0.9458571297642702,0.008884082172595223,0.04976744204759598,0.02644066885113716,0.9457716559554901,0.00851223501616278,0.04924676567316055,0.04911716654896736,0.04905371367931366,0.04978016018867493,0.05000210553407669,0.048627741634845734,0.049777910113334656,0.049165744334459305,0.048714082688093185,0.04996921867132187,0.0502929650247097,0.0492696687579155,0.048900164663791656,0.9454133234494505,0.00888069396110165,0.04969131574034691,0.026382815092802048,0.9704320299003052,0.022520341369894198,0.05232073714374268
4,75,2.1933417320251465,1.0851871967315674,8.96512222290039,0.001,7372,1940,15,0.17177963256835938,0.05466175079345703,4.5657501220703125,0.0,96.13468170166016,2.185953378677368,1.3836137056350708,0.9352286583616237,0.05002302676439285,0.050047535449266434,0.04869050160050392,0.04853634908795357,0.04816943779587746,0.04774840921163559,0.04829445108771324,0.048314809799194336,0.048500966280698776,0.04937218502163887,0.048677925020456314,0.04809959605336189,0.048401620239019394,0.9317526026164025,0.008819102268903551,0.04905209317803383,0.026080885902047157,0.9316630827101653,0.008435175430561182,0.04855206981301308,0.048414044082164764,0.04832369461655617,0.04905576631426811,0.04927590489387512,0.04790553078055382,0.049062199890613556,0.048459768295288086,0.04800320789217949,0.04924619942903519,0.04956496134400368,0.04854075238108635,0.04817448928952217,0.9312930333802397,0.008801995258219683,0.048977602273225784,0.026027657091617584,0.9604686834997239,0.024822468090010028,0.05229242773263835
5,90,2.1895058155059814,1.139446496963501,8.930798530578613,0.001,7372,1940,15,0.1724696159362793,0.05491805076599121,4.675682067871094,0.0,107.30573272705078,2.1832687854766846,1.2615301609039307,0.9212937978510066,0.04930969327688217,0.04933301731944084,0.047970037907361984,0.04783537611365318,0.04748152941465378,0.04703402519226074,0.047563329339027405,0.047583743929862976,0.047770123928785324,0.04863831400871277,0.047951050102710724,0.04738318547606468,0.047682031989097595,0.9178724652900068,0.008695921518685383,0.04832841828465462,0.02570476196706295,0.9177896888795314,0.008347133298199956,0.04784245789051056,0.04770310968160629,0.04759726673364639,0.04831549525260925,0.04853668808937073,0.0471930094063282,0.0483282208442688,0.047732800245285034,0.04727459326386452,0.04849383980035782,0.04881082475185394,0.047804590314626694,0.047449465841054916,0.9174249500525181,0.008701170776958514,0.04826103895902634,0.025660628452897072,0.9502403177157062,0.0268940541829493,0.05220047121910318
6,105,2.1870672702789307,1.0987520217895508,8.90904712677002,0.001,7372,1940,15,0.18048095703125,0.05830550193786621,4.730895042419434,0.0,113.39701080322266,2.1810495853424072,1.424308180809021,0.9075688370110121,0.04859069734811783,0.048615530133247375,0.04727170616388321,0.04717472195625305,0.046843111515045166,0.04633421078324318,0.04685404896736145,0.04687369242310524,0.04704861342906952,0.04790117219090462,0.047232672572135925,0.046671658754348755,0.04697281867265701,0.9041717049508734,0.008590341028987562,0.04761536419391632,0.025330787524580956,0.9040939018685223,0.00821946983551595,0.04714776575565338,0.04700547829270363,0.04689795896410942,0.04759102687239647,0.04781124368309975,0.04647843539714813,0.04761045053601265,0.04702300205826759,0.04656149074435234,0.04775220528244972,0.048066940158605576,0.047094594687223434,0.046736422926187515,0.9037168561617438,0.008563205043991625,0.04754995182156563,0.02529115229845047,0.9400163352039335,0.02879586223337456,0.052114785087457455
7,120,2.185845136642456,1.139446496963501,8.898165702819824,0.001,7372,1940,15,0.17193388938903809,0.05466413497924805,4.803192615509033,0.0,121.89897155761719,2.179314136505127,1.3022246360778809,0.8940475817948346,0.047885794192552567,0.04791305586695671,0.04658931493759155,0.04654354229569435,0.04622982069849968,0.04563630744814873,0.04616080969572067,0.04617495462298393,0.046340230852365494,0.04719838127493858,0.04654954746365547,0.04597989842295647,0.04627601429820061,0.8907398415052395,0.008458394392823636,0.04691246896982193,0.024962276220321655,0.8906327885100219,0.008153045743718272,0.04646359384059906,0.04631904885172844,0.0461849607527256,0.04688011109828949,0.047098174691200256,0.045787323266267776,0.04690021649003029,0.04632367193698883,0.04585830494761467,0.046994224190711975,0.04731346294283867,0.046389494091272354,0.04603608697652817,0.8902452060911157,0.008490994321602306,0.046853262931108475,0.02493150718510151,0.9299747642525159,0.03082929752587738,0.05207634492022217
8,135,2.1824607849121094,1.2479653358459473,8.868102073669434,0.001,7372,1940,15,0.1671586036682129,0.05009102821350098,4.864001274108887,0.0,129.54150390625,2.1777400970458984,1.3157894611358643,0.8807313408039119,0.04717739671468735,0.04720359295606613,0.045903705060482025,0.04601529240608215,0.04570990428328514,0.044961098581552505,0.04548194631934166,0.045496679842472076,0.0456373430788517,0.046501319855451584,0.04586683213710785,0.04529820382595062,0.04559050500392914,0.8774549019735147,0.0083812985872741,0.046221282333135605,0.02460041455924511,0.8773232352187667,0.00804413565298809,0.04579173028469086,0.045642245560884476,0.04550795257091522,0.046175677329301834,0.04639258608222008,0.04510480910539627,0.046203047037124634,0.045637086033821106,0.04517533630132675,0.046272002160549164,0.04659543186426163,0.04570009559392929,0.045346226543188095,0.8769172767739097,0.008408050640821882,0.04616585373878479,0.02457541599869728,0.9201145090433923,0.032862706476599876,0.052095586813863774
9,150,2.1826040744781494,1.0580575466156006,8.869372367858887,0.001,7372,1940,15,0.168426513671875,0.050635576248168945,4.933642387390137,0.0,138.88446044921875,2.176236391067505,1.4378730058670044,0.867617147874985,0.046488989144563675,0.04651893675327301,0.045228511095047,0.04562314227223396,0.04532492905855179,0.044319093227386475,0.044805172830820084,0.044813718646764755,0.04494142159819603,0.04580279439687729,0.045191604644060135,0.04461439326405525,0.04491756856441498,0.8643559986311169,0.008284980526081055,0.045536208897829056,0.024242205545306206,0.8642153124507875,0.007993872243416309,0.04513227939605713,0.04497779160737991,0.04482655227184296,0.045468855649232864,0.045685019344091415,0.04442443326115608,0.04550309106707573,0.044944990426301956,0.044490646570920944,0.04551269859075546,0.04585868492722511,0.045007601380348206,0.044660553336143494,0.863776310876698,0.008309141865534433,0.04549018666148186,0.024228569120168686,0.9103740351777365,0.034849772333206616,0.05217506799369195
10,165,2.1806297302246094,1.0851871967315674,8.851879119873047,0.001,7372,1940,15,0.16801095008850098,0.052402496337890625,4.97329044342041,0.0,144.5015869140625,2.174936294555664,1.3157894611358643,0.8547021240848908,0.04584677889943123,0.04588533937931061,0.044585276395082474,0.04535946622490883,0.04504115507006645,0.04370352625846863,0.044145844876766205,0.0441550649702549,0.04425688087940216,0.04513564333319664,0.044545020908117294,0.04395473003387451,0.04425628483295441,0.8514980066748075,0.008158767836948135,0.044869519770145416,0.02389666438102722,0.8513118018980863,0.007896460998340014,0.044480036944150925,0.04432365670800209,0.04416661337018013,0.04479479789733887,0.04500819742679596,0.04376900941133499,0.044841308146715164,0.04429585486650467,0.04382531717419624,0.04488725587725639,0.045249056071043015,0.04432101175189018,0.04399503767490387,0.8508476808022843,0.008234675628205271,0.044826675206422806,0.02388894557952881,0.9007876501902367,0.03686852735153748,0.05231316906542742
11,180,2.180605411529541,1.2479653358459473,8.851663589477539,0.001,7372,1940,15,0.1682720184326172,0.05257892608642578,5.0377373695373535,0.0,154.1208953857422,2.1741840839385986,1.3293542861938477,0.8419956041238854,0.04518279805779457,0.04522174224257469,0.04392513632774353,0.045318424701690674,0.044912535697221756,0.043156132102012634,0.043496400117874146,0.0435054711997509,0.043579600751399994,0.04449167102575302,0.043917324393987656,0.04329615831375122,0.04361657425761223,0.8388083492314504,0.008088587407276924,0.04420541971921921,0.023552633821964264,0.8385789860818541,0.007839996733681067,0.04383435100317001,0.043680425733327866,0.04350600764155388,0.04411947354674339,0.044331297278404236,0.04310836270451546,0.04415573924779892,0.043618395924568176,0.043164946138858795,0.04417404532432556,0.044561900198459625,0.043648067861795425,0.04333202913403511,0.8380933700933116,0.008181259766073777,0.04417671263217926,0.023556489497423172,0.8911345888883926,0.03876273579834062,0.05252536424107214
12,195,2.1783607006073,1.0580575466156006,8.831816673278809,0.001,7372,1940,15,0.16681766510009766,0.04922056198120117,5.100799560546875,0.0,164.15310668945312,2.172893524169922,1.6006511449813843,0.829486857460179,0.044526685029268265,0.044568758457899094,0.043278250843286514,0.04538547247648239,0.04483475908637047,0.042683959007263184,0.042859997600317,0.042859792709350586,0.04291665554046631,0.04384544864296913,0.04328998550772667,0.042646560817956924,0.04299675300717354,0.8262941069715958,0.007994680277527604,0.043551668524742126,0.023213399574160576,0.8259757296779445,0.007798284524545442,0.04321588575839996,0.04305535927414894,0.04285674914717674,0.04342374578118324,0.043636079877614975,0.042460810393095016,0.04349660873413086,0.04297195002436638,0.04251841455698013,0.043501827865839005,0.04389456659555435,0.04299873486161232,0.04268087074160576,0.8254613695387175,0.0081515218717268,0.04353755712509155,0.02323153428733349,0.8815509012991974,0.040620753273163064,0.05280188262989055
